layer_idx,expert_idx,quantile,alpha,target_angle_deg,is_theta_max,seed,config_name,trainable_params,frozen_params,tau_target,tau_actual,err_tau,cos_tau,mag_tau_actual,C_before,mag_C_before,C_after,mag_C_after,DeltaC,mag_DeltaC,mag_DeltaC_par,mag_DeltaC_perp,delta_theta
2,49,0.1,0.01,0.0,False,42,default,6291456,6912870400,"[0.00313744 0.00329251 0.00339816 0.00321791 0.00302434 0.00305078
 0.00305076 0.00308689 0.00317947 0.00316458]","[0.0010625 0.0011875 0.0009125 0.0010875 0.0007625 0.0009875 0.001025
 0.0008875 0.00105   0.0010375]",0.006843003746218873,0.9945324348234766,0.0031824715,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.00409518 0.00200562 0.00261857 0.00187999]",0.008028406,"[-3.25962901e-09 -4.88944352e-09  9.31322575e-10 -6.98491931e-10
  7.91624188e-09 -5.23868948e-10 -1.21071935e-08  9.31322575e-10
 -1.86264515e-09 -2.44472176e-09]",1.5991436e-08,6.725044e-09,1.4508611e-08,0.027976455118293345
2,49,0.1,0.01,15.0,False,42,default,6291456,6912870400,"[0.00277288 0.00290994 0.00300331 0.002844   0.00538827 0.00269629
 0.00269628 0.0027282  0.00281003 0.00279687]","[0.00095   0.00115   0.0008375 0.0009875 0.0016    0.0009625 0.0007625
 0.0009125 0.0009375 0.0009   ]",0.00678641100644893,0.9946915961401932,0.0032389718,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276148 0.00248618 0.00266481 0.00170371 0.00296685 0.00081116
 0.00409518 0.00200562 0.00261857 0.00187999]",0.008028402,"[-3.02679837e-09 -8.84756446e-09 -1.86264515e-09  0.00000000e+00
  7.68341124e-09 -6.40284270e-10 -1.21071935e-08  1.62981451e-09
 -5.82076609e-09 -1.74622983e-09]",1.834465e-08,9.700582e-09,1.557e-08,0.0
2,49,0.1,0.01,30.0,False,42,default,6291456,6912870400,"[0.00221936 0.00232906 0.00240379 0.00227628 0.007385   0.00215806
 0.00215805 0.0021836  0.00224909 0.00223856]","[0.0008125 0.00105   0.0008    0.0007625 0.002575  0.000825  0.000725
 0.000775  0.000825  0.00085  ]",0.006433193083842103,0.9974250215233108,0.003581157,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276148 0.00248618 0.00266481 0.00170371 0.00296685 0.00081116
 0.00409519 0.00200562 0.00261857 0.00187999]",0.008028402,"[-2.79396772e-09 -9.31322575e-09 -1.86264515e-09  1.51339918e-09
  2.56113708e-09 -5.82076609e-10 -8.84756446e-09  6.98491931e-10
 -5.82076609e-09 -1.28056854e-09]",1.4882505e-08,9.7914805e-09,1.1207847e-08,0.0
2,49,0.1,0.01,45.0,False,42,default,6291456,6912870400,"[0.00151459 0.00158945 0.00164045 0.00155344 0.00887846 0.00147276
 0.00147275 0.00149019 0.00153488 0.00152769]","[0.0006625 0.00085   0.00075   0.0005625 0.003925  0.0005625 0.0006
 0.000625  0.00075   0.0007125]",0.005586041097114343,0.9985721133437964,0.004425282,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.00409519 0.00200561 0.00261857 0.00187999]",0.008028403,"[-1.16415322e-09 -7.21774995e-09  2.32830644e-10  1.86264515e-09
  3.02679837e-09 -2.91038305e-10 -8.84756446e-09 -1.62981451e-09
 -6.05359674e-09 -5.47152013e-09]",1.461986e-08,9.249803e-09,1.1321724e-08,0.0
2,49,0.1,0.01,60.0,False,42,default,6291456,6912870400,"[0.0007066  0.00074153 0.00076532 0.00072473 0.00976687 0.00068709
 0.00068708 0.00069522 0.00071607 0.00071272]","[0.0004375 0.0005    0.000575  0.0005125 0.0057375 0.0005    0.0003375
 0.000525  0.00045   0.000425 ]",0.00409726303121854,0.9992157403979584,0.0059140725,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.00409518 0.00200561 0.00261857 0.00187999]",0.008028396,"[ 0.00000000e+00 -6.98491931e-09  0.00000000e+00 -5.82076609e-10
  2.09547579e-09 -5.82076609e-11 -1.81607902e-08 -2.32830644e-10
 -7.91624188e-09 -7.45058060e-09]",2.2395733e-08,1.5166528e-08,1.6478632e-08,0.0
2,49,0.1,0.01,72.39617295717436,True,42,default,6291456,6912870400,[0.   0.   0.   0.   0.01 0.   0.   0.   0.   0.  ],[0.   0.   0.   0.   0.01 0.   0.   0.   0.   0.  ],2.2351741811588166e-10,0.99999999,0.01,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.00409518 0.00200562 0.00261857 0.00187999]",0.008028397,"[ 9.31322575e-10 -3.95812094e-09  0.00000000e+00 -5.82076609e-10
  9.31322575e-10  0.00000000e+00 -2.09547579e-08  2.32830644e-09
 -9.08039510e-09 -4.30736691e-09]",2.3733312e-08,1.4762213e-08,1.858352e-08,0.027976455118293345
2,49,0.1,0.1,0.0,False,42,default,6291456,6912870400,"[0.03137439 0.03292515 0.0339816  0.03217905 0.03024336 0.03050778
 0.03050761 0.03086885 0.03179468 0.03164577]","[0.010625 0.011875 0.009125 0.010875 0.007625 0.009875 0.01025  0.008875
 0.0105   0.010375]",0.06843003648666708,0.9945324812386477,0.031824715,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.0027615  0.00248621 0.00266475 0.0017037  0.00296674 0.00081112
 0.004095   0.00200561 0.00261854 0.00187995]",0.008028238,"[ 1.88592821e-08  1.51339918e-08 -5.82076609e-08 -1.09430403e-08
 -1.06636435e-07 -3.72529030e-08 -1.93715096e-07 -4.65661287e-10
 -3.74857336e-08 -4.05125320e-08]",2.3963284e-07,1.742811e-07,1.6446883e-07,0.0
2,49,0.1,0.1,15.0,False,42,default,6291456,6912870400,"[0.02772883 0.02909939 0.0300331  0.02843999 0.05388271 0.02696292
 0.02696276 0.02728203 0.02810028 0.02796868]","[0.0095   0.0115   0.008375 0.009875 0.016    0.009625 0.007625 0.009125
 0.009375 0.009   ]",0.0678641084764328,0.9946916464506573,0.03238972,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.0027615  0.00248622 0.00266473 0.00170365 0.00296668 0.00081111
 0.00409495 0.00200558 0.00261851 0.00187992]",0.008028145,"[ 1.39698386e-08  2.30502337e-08 -8.40518624e-08 -5.51808625e-08
 -1.62981451e-07 -4.77884896e-08 -2.47731805e-07 -3.39932740e-08
 -6.68223947e-08 -7.42729753e-08]",3.349494e-07,2.6676693e-07,2.0255001e-07,0.0
2,49,0.1,0.1,30.0,False,42,default,6291456,6912870400,"[0.02219359 0.02329057 0.02403788 0.0227628  0.07385004 0.02158057
 0.02158045 0.02183599 0.0224909  0.02238556]","[0.008125 0.0105   0.008    0.007625 0.02575  0.00825  0.00725  0.00775
 0.00825  0.0085  ]",0.06433192857256281,0.9974250085757369,0.035811573,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276142 0.00248609 0.00266462 0.0017036  0.00296655 0.0008111
 0.0040948  0.00200553 0.0026184  0.00187986]",0.008027844,"[-6.05359674e-08 -1.00350007e-07 -1.89058483e-07 -1.02096237e-07
 -2.92668119e-07 -5.98374754e-08 -4.01400030e-07 -8.89413059e-08
 -1.80210918e-07 -1.35041773e-07]",6.0735607e-07,5.6788485e-07,2.1537936e-07,0.0
2,49,0.1,0.1,45.0,False,42,default,6291456,6912870400,"[0.0151459  0.01589453 0.01640453 0.01553435 0.08878461 0.01472755
 0.01472747 0.01490186 0.01534879 0.01527691]","[0.006625 0.0085   0.0075   0.005625 0.03925  0.005625 0.006    0.00625
 0.0075   0.007125]",0.0558604081123824,0.9985720535002925,0.044252828,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276138 0.00248612 0.00266461 0.00170361 0.0029666  0.0008111
 0.00409474 0.00200554 0.0026184  0.00187985]",0.008027825,"[-1.01746991e-07 -7.68341124e-08 -2.03028321e-07 -9.68575478e-08
 -2.43540853e-07 -6.05359674e-08 -4.56348062e-07 -7.47386366e-08
 -1.79978088e-07 -1.47148967e-07]",6.306496e-07,5.874582e-07,2.2937249e-07,0.027976455118293345
2,49,0.1,0.1,60.0,False,42,default,6291456,6912870400,"[0.00706604 0.0074153  0.00765323 0.00724727 0.09766866 0.00687087
 0.00687083 0.00695219 0.0071607  0.00712716]","[0.004375 0.005    0.00575  0.005125 0.057375 0.005    0.003375 0.00525
 0.0045   0.00425 ]",0.040972630267037104,0.9992157894946304,0.059140723,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276143 0.00248608 0.00266466 0.00170364 0.00296664 0.0008111
 0.00409482 0.00200548 0.00261842 0.00187988]",0.008027906,"[-5.33182174e-08 -1.11758709e-07 -1.54832378e-07 -7.11297616e-08
 -2.09780410e-07 -6.17001206e-08 -3.75788659e-07 -1.38534233e-07
 -1.55763701e-07 -1.13970600e-07]",5.383684e-07,5.069779e-07,1.8114618e-07,0.0
2,49,0.1,0.1,72.39617295717436,True,42,default,6291456,6912870400,[0.  0.  0.  0.  0.1 0.  0.  0.  0.  0. ],[0.  0.  0.  0.  0.1 0.  0.  0.  0.  0. ],1.4901161138336505e-09,0.9999999999,0.1,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276131 0.00248599 0.00266457 0.00170357 0.00296657 0.00081108
 0.00409479 0.00200544 0.0026183  0.00187981]",0.008027682,"[-1.72527507e-07 -2.03028321e-07 -2.39117071e-07 -1.33994035e-07
 -2.78931111e-07 -8.05011950e-08 -4.11178917e-07 -1.75787136e-07
 -2.80328095e-07 -1.88592821e-07]",7.379166e-07,7.304766e-07,1.0452198e-07,0.0
2,49,0.1,1.0,0.0,False,42,default,6291456,6912870400,"[0.31374389 0.32925146 0.33981604 0.32179054 0.30243356 0.30507782
 0.30507608 0.30868852 0.31794675 0.31645769]","[0.10625 0.11875 0.09125 0.10875 0.07625 0.09875 0.1025  0.08875 0.105
 0.10375]",0.6843003712245631,0.9945325084336625,0.31824714,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276265 0.00248485 0.00266361 0.00170283 0.00296691 0.00081013
 0.00409798 0.00200413 0.0026182  0.00187976]",0.008028601,"[ 1.16345473e-06 -1.33900903e-06 -1.20094046e-06 -8.72300006e-07
  6.14672899e-08 -1.03085767e-06  2.78232619e-06 -1.48871914e-06
 -3.78815457e-07 -2.39117071e-07]",4.071177e-06,1.8813873e-07,4.066828e-06,0.03956468264845247
2,49,0.1,1.0,15.0,False,42,default,6291456,6912870400,"[0.27728828 0.29099394 0.30033097 0.28439994 0.53882705 0.26962917
 0.26962763 0.27282032 0.28100279 0.27968675]","[0.095   0.115   0.08375 0.09875 0.16    0.09625 0.07625 0.09125 0.09375
 0.09   ]",0.6786410937831008,0.9946916423537568,0.32389718,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276328 0.00248533 0.00266407 0.00170308 0.00296737 0.00081004
 0.0040986  0.00200445 0.00261882 0.00188015]",0.008030023,"[ 1.79489143e-06 -8.63336027e-07 -7.46455044e-07 -6.27245754e-07
  5.21307811e-07 -1.11956615e-06  3.40351835e-06 -1.16089359e-06
  2.45403498e-07  1.54483132e-07]",4.4111794e-06,1.6109834e-06,4.1064873e-06,0.027976455118293345
2,49,0.1,1.0,30.0,False,42,default,6291456,6912870400,"[0.22193593 0.23290567 0.24037883 0.22762796 0.73850038 0.21580574
 0.2158045  0.21835987 0.22490895 0.22385562]","[0.08125    0.105      0.08       0.07625    0.25749999 0.0825
 0.0725     0.0775     0.0825     0.085     ]",0.6433192966512932,0.9974249782077295,0.35811573,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00276015 0.0024832  0.00266136 0.00170153 0.00296428 0.00080958
 0.00409383 0.00200257 0.00261634 0.0018784 ]",0.008021754,"[-1.32992864e-06 -2.99070962e-06 -3.45334411e-06 -2.17230991e-06
 -2.56486237e-06 -1.57882459e-06 -1.36857852e-06 -3.04472633e-06
 -2.23238021e-06 -1.59535557e-06]",7.4229924e-06,6.6585826e-06,3.280868e-06,0.03956468264845247
2,49,0.1,1.0,45.0,False,42,default,6291456,6912870400,"[0.15145902 0.15894526 0.16404528 0.15534352 0.88784612 0.1472755
 0.14727466 0.14901855 0.15348794 0.1527691 ]","[0.06625    0.085      0.075      0.05625    0.39250001 0.05625
 0.06       0.0625     0.075      0.07125   ]",0.5586040822973486,0.9985721180606679,0.44252825,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00275793 0.00248163 0.00265968 0.00170034 0.00296191 0.00080932
 0.00409032 0.00200137 0.00261446 0.00187717]",0.0080158,"[-3.54950316e-06 -4.55952249e-06 -5.12739643e-06 -3.36824451e-06
 -4.93368134e-06 -1.83680095e-06 -4.87780198e-06 -4.23984602e-06
 -4.12040390e-06 -2.82842666e-06]",1.2864117e-05,1.2611869e-05,2.5350018e-06,0.0
2,49,0.1,1.0,60.0,False,42,default,6291456,6912870400,"[0.07066042 0.07415299 0.07653231 0.07247266 0.97668662 0.06870868
 0.06870829 0.06952187 0.07160698 0.07127162]","[0.04375    0.05       0.0575     0.05125    0.57375002 0.05
 0.03375    0.0525     0.045      0.0425    ]",0.40972631059438785,0.9992157634828316,0.59140724,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00275758 0.00248195 0.00266023 0.0017005  0.00296202 0.00080943
 0.00408918 0.00200177 0.00261447 0.00187698]",0.008015523,"[-3.90387140e-06 -4.23961319e-06 -4.58210707e-06 -3.20735853e-06
 -4.82611358e-06 -1.73092121e-06 -6.01215288e-06 -3.84473242e-06
 -4.10783105e-06 -3.01923137e-06]",1.2950014e-05,1.2889601e-05,1.2494022e-06,0.027976455118293345
2,49,0.1,1.0,72.39617295717436,True,42,default,6291456,6912870400,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0.0,0.9999999999989999,1.0,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00275572 0.00248026 0.00265871 0.0016995  0.00295979 0.0008089
 0.00408634 0.00200069 0.00261278 0.00187596]",0.008010253,"[-5.76814637e-06 -5.93299046e-06 -6.10155985e-06 -4.20177821e-06
 -7.05593266e-06 -2.25647818e-06 -8.85780901e-06 -4.92157415e-06
 -5.80097549e-06 -4.03844751e-06]",1.8190018e-05,1.8159175e-05,1.0588044e-06,0.027976455118293345
2,49,0.1,2.0,0.0,False,42,default,6291456,6912870400,"[0.62748778 0.65850292 0.67963208 0.64358107 0.60486712 0.61015565
 0.61015215 0.61737704 0.6358935  0.63291539]","[0.21250001 0.2375     0.1825     0.2175     0.1525     0.19750001
 0.205      0.17749999 0.20999999 0.2075    ]",1.3686007424491262,0.9945325084360062,0.6364943,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.00277096 0.00248726 0.00266536 0.00170469 0.00297506 0.00080972
 0.00411616 0.00200476 0.00262414 0.00188373]",0.008048464,"[ 9.47364606e-06  1.07078813e-06  5.44358045e-07  9.84640792e-07
  8.21100548e-06 -1.44273508e-06  2.09631398e-05 -8.57282430e-07
  5.56348823e-06  3.73634975e-06]",2.5431582e-05,2.0036801e-05,1.5661799e-05,0.11190583714844751
2,49,0.1,2.0,15.0,False,42,default,6291456,6912870400,"[0.55457656 0.58198789 0.60066193 0.56879989 1.07765411 0.53925835
 0.53925526 0.54564064 0.56200558 0.5593735 ]","[0.19       0.23       0.1675     0.19750001 0.31999999 0.1925
 0.1525     0.1825     0.1875     0.18000001]",1.3572821875662016,0.99469164235606,0.64779437,"[0.00276148 0.00248619 0.00266481 0.00170371 0.00296685 0.00081116
 0.0040952  0.00200561 0.00261858 0.00187999]",0.008028412,"[0.0027704  0.00248712 0.0026654  0.00170455 0.00297463 0.00080974
 0.00411463 0.00200454 0.0026233  0.00188351]",0.008046895,"[ 8.91531818e-06  9.30391252e-07  5.88828698e-07  8.42614099e-07
  7.78771937e-06 -1.41694909e-06  1.94287859e-05 -1.07637607e-06
  4.72599640e-06  3.51737253e-06]",2.3609422e-05,1.8470259e-05,1.4705589e-05,0.1083523598284494
