pair_id,layer,validation_fold,expert_1,expert_2,oracle_kl,local_baseline_score,capability_distance,combined_score
partition_00_fold_02_4_5,0,fold_02,4,5,0.002109047,0.003236259,0.0020937994,0.0022381207
partition_00_fold_02_4_9,0,fold_02,4,9,0.0014121976,0.0016174805,0.001552384,0.0015524853
partition_00_fold_02_4_12,0,fold_02,4,12,0.0024133879,0.003337733,0.0025021813,0.0026610359
partition_00_fold_02_4_13,0,fold_02,4,13,0.0010900979,0.0023412006,0.0007313582,0.0015923091
partition_00_fold_02_4_14,0,fold_02,4,14,0.0032091339,0.0015999654,0.003524092,0.0025876032
partition_00_fold_02_4_21,0,fold_02,4,21,0.0020313878,0.0011810388,0.002353535,0.0018702676
partition_00_fold_02_4_23,0,fold_02,4,23,0.0017075907,0.0027705738,0.0020542569,0.0018873787
partition_00_fold_02_4_24,0,fold_02,4,24,0.002143789,0.0023986248,0.0020539751,0.0020213139
partition_00_fold_02_4_27,0,fold_02,4,27,0.0009242649,0.0018208713,0.00048114653,0.0016845808
partition_00_fold_02_4_29,0,fold_02,4,29,0.001008979,0.0015239469,0.00048871647,0.0016845808
partition_00_fold_02_4_30,0,fold_02,4,30,0.0023644457,0.0015398654,0.0024707075,0.0021282313
partition_00_fold_02_4_31,0,fold_02,4,31,0.0010916089,0.0023391352,0.0010606009,0.0015923091
partition_00_fold_02_4_35,0,fold_02,4,35,0.0013577414,0.001395776,0.001132017,0.0015524853
partition_00_fold_02_4_38,0,fold_02,4,38,0.0008664539,0.0015166715,0.00019364622,0.0015524853
partition_00_fold_02_4_40,0,fold_02,4,40,0.0015320618,0.0022476309,0.001748493,0.0015923091
partition_00_fold_02_4_45,0,fold_02,4,45,0.0026795862,0.0023707075,0.003094406,0.0024086365
partition_00_fold_02_4_57,0,fold_02,4,57,0.0018275653,0.0019963423,0.0016337319,0.0016437485
partition_00_fold_02_4_58,0,fold_02,4,58,0.0026878389,0.0027582601,0.0027997433,0.0025193938
partition_00_fold_02_4_59,0,fold_02,4,59,0.00088855356,0.003889767,0.0007425415,0.001968606
partition_00_fold_02_4_61,0,fold_02,4,61,0.004561898,0.0015313748,0.0048548495,0.003955888
partition_00_fold_02_5_9,0,fold_02,5,9,0.0025479996,0.0035536587,0.0033207813,0.003299276
partition_00_fold_02_5_12,0,fold_02,5,12,0.003524934,0.0035817316,0.0036909007,0.0037053945
partition_00_fold_02_5_13,0,fold_02,5,13,0.0022809603,0.0032845128,0.0016495608,0.0022750867
partition_00_fold_02_5_14,0,fold_02,5,14,0.0044727777,0.0039318,0.0015846407,0.0028466855
partition_00_fold_02_5_21,0,fold_02,5,21,0.0031894874,0.00411871,0.0040724766,0.0040974477
partition_00_fold_02_5_23,0,fold_02,5,23,0.0028044914,0.004152714,0.0035899903,0.0035906064
partition_00_fold_02_5_24,0,fold_02,5,24,0.0032917715,0.0033878142,0.0006523824,0.0027241465
partition_00_fold_02_5_27,0,fold_02,5,27,0.002127685,0.0030326545,0.0024490682,0.0026922242
partition_00_fold_02_5_29,0,fold_02,5,29,0.002166999,0.0034845113,0.0016380223,0.002345815
partition_00_fold_02_5_30,0,fold_02,5,30,0.0035012995,0.0037000226,0.00064660347,0.0027959058
partition_00_fold_02_5_31,0,fold_02,5,31,0.002259927,0.0034209203,0.002862114,0.0027162484
partition_00_fold_02_5_35,0,fold_02,5,35,0.0025215496,0.00391398,0.0013067741,0.0027571232
partition_00_fold_02_5_38,0,fold_02,5,38,0.0020952714,0.0029347558,0.0020374758,0.0022589315
partition_00_fold_02_5_40,0,fold_02,5,40,0.0027151492,0.004901992,0.003440923,0.003428069
partition_00_fold_02_5_45,0,fold_02,5,45,0.00384504,0.0036407367,0.0044481675,0.0043506394
partition_00_fold_02_5_57,0,fold_02,5,57,0.0029593129,0.0035544059,0.002250339,0.0028936372
partition_00_fold_02_5_58,0,fold_02,5,58,0.003823685,0.0037161596,0.0007478197,0.003110676
partition_00_fold_02_5_59,0,fold_02,5,59,0.0020374628,0.0032367127,0.002473617,0.0026420895
partition_00_fold_02_5_61,0,fold_02,5,61,0.005787605,0.0035584099,0.0028014565,0.0034823173
partition_00_fold_02_9_12,0,fold_02,9,12,0.0028892288,0.00367763,0.0028891522,0.0031370586
partition_00_fold_02_9_13,0,fold_02,9,13,0.001578187,0.0015977157,0.0019457889,0.0015645693
partition_00_fold_02_9_14,0,fold_02,9,14,0.0037457256,0.0024798415,0.004546553,0.0040280507
partition_00_fold_02_9_21,0,fold_02,9,21,0.0024991161,0.002250791,0.00081487215,0.0015923091
partition_00_fold_02_9_23,0,fold_02,9,23,0.0021299792,0.003786287,0.0008413016,0.0022233028
partition_00_fold_02_9_24,0,fold_02,9,24,0.0026234344,0.0033366568,0.0034319244,0.0029238523
partition_00_fold_02_9_27,0,fold_02,9,27,0.0014420575,0.0025476988,0.0012583339,0.0015524853
partition_00_fold_02_9_29,0,fold_02,9,29,0.0014916728,0.0032186192,0.0018393471,0.0019709966
partition_00_fold_02_9_30,0,fold_02,9,30,0.0028801176,0.002522943,0.0035141893,0.0027619523
partition_00_fold_02_9_31,0,fold_02,9,31,0.0015864376,0.0015567124,0.00054498547,0.0015524853
partition_00_fold_02_9_35,0,fold_02,9,35,0.0018114316,0.002613395,0.0021809232,0.0017611805
partition_00_fold_02_9_38,0,fold_02,9,38,0.0013653559,0.0012763669,0.001622547,0.0015524853
partition_00_fold_02_9_40,0,fold_02,9,40,0.0019928946,0.0019351963,0.00025555101,0.001575165
partition_00_fold_02_9_45,0,fold_02,9,45,0.0031678209,0.003168979,0.002748574,0.0026059682
partition_00_fold_02_9_57,0,fold_02,9,57,0.002268048,0.0021050414,0.0027256624,0.0024382744
partition_00_fold_02_9_58,0,fold_02,9,58,0.0031786826,0.0046682456,0.004055221,0.0040538316
partition_00_fold_02_9_59,0,fold_02,9,59,0.001396219,0.0066002673,0.001139397,0.003136361
partition_00_fold_02_9_61,0,fold_02,9,61,0.0050477213,0.0019438224,0.0059960424,0.0052997456
partition_00_fold_02_12_13,0,fold_02,12,13,0.002637765,0.0029347425,0.0031413415,0.0026683947
partition_00_fold_02_12_14,0,fold_02,12,14,0.0046585742,0.0047428836,0.004543905,0.0044405214
partition_00_fold_02_12_21,0,fold_02,12,21,0.003436309,0.0036620921,0.003252461,0.003299276
partition_00_fold_02_12_23,0,fold_02,12,23,0.0031198286,0.0047678575,0.0026976343,0.0031853295
partition_00_fold_02_12_24,0,fold_02,12,24,0.003488003,0.0031810834,0.003792258,0.0036352468
