Feature,LASSO_Coefficient,XGBoost_Gain,Perm_Importance_Mean
Activation_Similarity,-0.0,0.06433391,-5.819751716674352e-06
Jaccard_Overlap,0.0003695022700801155,0.08439503,0.00011221130598257471
Output_Similarity,0.0,0.07234453,3.082239959905165e-05
Relative_Depth,,0.08499567,0.00028184913662563933
Routing_JSD_Proxy,0.0,0.087044664,0.00010806293364470993
Routing_NPMI_Proxy,0.0012648085011926944,0.15984769,0.00042844778494617597
Routing_Similarity,-0.0012213883846298157,0.10198128,0.00025271282139538204
Specialization_Diff,-0.00031742384262662136,0.073363245,-3.937531421439812e-06
Usage_Asymmetry,0.0011697082860784396,0.038546715,2.0428306449976338e-05
Usage_Frequency,0.0006403113951397472,0.10814505,0.0005459659476564858
Weight_Cosine,-0.0002457700242321831,0.04004558,-1.4223220636008544e-05
Weight_Distance,-0.0,0.084956706,0.00036332182173198974
