Layer,k,Expert,Louvain_Community
first,3,0,0
first,3,1,1
first,3,2,2
first,3,3,3
first,3,4,4
first,3,5,5
first,3,6,6
first,3,7,33
first,3,8,8
first,3,9,9
first,3,10,10
first,3,11,11
first,3,12,12
first,3,13,13
first,3,14,14
first,3,15,15
first,3,16,16
first,3,17,17
first,3,18,18
first,3,19,19
first,3,20,1
first,3,21,9
first,3,22,21
first,3,23,33
first,3,24,22
first,3,25,23
first,3,26,24
first,3,27,25
first,3,28,26
first,3,29,27
first,3,30,28
first,3,31,29
first,3,32,30
first,3,33,31
first,3,34,32
first,3,35,33
first,3,36,33
first,3,37,34
first,3,38,35
first,3,39,36
first,3,40,37
first,3,41,38
first,3,42,39
first,3,43,9
first,3,44,40
first,3,45,41
first,3,46,42
first,3,47,9
first,3,48,43
first,3,49,44
first,3,50,45
first,3,51,46
first,3,52,47
first,3,53,48
first,3,54,49
first,3,55,50
first,3,56,51
first,3,57,52
first,3,58,33
first,3,59,53
first,3,60,54
first,3,61,55
first,3,62,20
first,3,63,7
first,5,0,0
first,5,1,8
first,5,2,2
first,5,3,3
first,5,4,4
first,5,5,5
first,5,6,6
first,5,7,24
first,5,8,8
first,5,9,20
first,5,10,10
first,5,11,11
first,5,12,12
first,5,13,13
first,5,14,14
first,5,15,15
first,5,16,16
first,5,17,17
first,5,18,18
first,5,19,19
first,5,20,8
first,5,21,8
first,5,22,21
first,5,23,22
first,5,24,23
first,5,25,24
first,5,26,25
first,5,27,26
first,5,28,27
first,5,29,28
first,5,30,29
first,5,31,24
first,5,32,30
first,5,33,31
first,5,34,32
first,5,35,24
first,5,36,22
first,5,37,33
first,5,38,34
first,5,39,35
first,5,40,36
first,5,41,37
first,5,42,38
first,5,43,20
first,5,44,39
first,5,45,40
first,5,46,41
first,5,47,8
first,5,48,42
first,5,49,43
first,5,50,44
first,5,51,45
first,5,52,46
first,5,53,47
first,5,54,48
first,5,55,49
first,5,56,50
first,5,57,51
first,5,58,22
first,5,59,1
first,5,60,9
first,5,61,7
first,5,62,8
first,5,63,24
first,8,0,0
first,8,1,33
first,8,2,2
first,8,3,3
first,8,4,4
first,8,5,5
first,8,6,6
first,8,7,7
first,8,8,33
first,8,9,16
first,8,10,10
first,8,11,11
first,8,12,12
first,8,13,13
first,8,14,7
first,8,15,15
first,8,16,16
first,8,17,17
first,8,18,18
first,8,19,19
first,8,20,7
first,8,21,33
first,8,22,22
first,8,23,33
first,8,24,24
first,8,25,35
first,8,26,26
first,8,27,27
first,8,28,28
first,8,29,29
first,8,30,30
first,8,31,7
first,8,32,32
first,8,33,33
first,8,34,34
first,8,35,7
first,8,36,16
first,8,37,37
first,8,38,38
first,8,39,35
first,8,40,40
first,8,41,41
first,8,42,42
first,8,43,33
first,8,44,44
first,8,45,45
first,8,46,1
first,8,47,35
first,8,48,35
first,8,49,36
first,8,50,39
first,8,51,8
first,8,52,16
first,8,53,9
first,8,54,43
first,8,55,14
first,8,56,20
first,8,57,21
first,8,58,16
first,8,59,23
first,8,60,25
first,8,61,31
first,8,62,33
first,8,63,35
middle,3,0,0
middle,3,1,1
middle,3,2,2
middle,3,3,3
middle,3,4,1
middle,3,5,4
middle,3,6,5
middle,3,7,6
middle,3,8,3
middle,3,9,19
middle,3,10,9
middle,3,11,10
middle,3,12,11
middle,3,13,12
middle,3,14,13
