source,target,weight
1,4,0.6126155257225037
1,9,0.5584691166877747
1,20,0.5563424229621887
1,34,0.557344377040863
4,9,0.5554425120353699
4,29,0.5398111939430237
4,42,0.6337421536445618
8,9,0.5652993321418762
8,11,0.5728495717048645
8,20,0.5654506683349609
8,25,0.5693590044975281
8,39,0.566255509853363
9,32,0.6086543202400208
9,43,0.558269202709198
11,35,0.5236864686012268
11,43,0.5570074915885925
13,21,0.4758303463459015
20,32,0.5525838732719421
20,50,0.5315064787864685
21,43,0.5386072993278503
25,38,0.5513095259666443
27,29,0.5210145711898804
32,43,0.6025857329368591
32,63,0.5562229156494141
34,39,0.5397493243217468
34,51,0.532971203327179
35,39,0.5453916192054749
35,43,0.545008659362793
39,51,0.5407645106315613
40,54,0.46957817673683167
42,50,0.5425665378570557
47,50,0.5223067998886108
