source,target,weight
0,62,0.4810056984424591
1,7,0.49492746591567993
1,8,0.5209565758705139
1,9,0.5041455626487732
1,20,0.5327274203300476
1,21,0.5674448013305664
1,23,0.5618806481361389
1,33,0.4984460175037384
1,43,0.5128855109214783
1,62,0.49450936913490295
1,63,0.532476007938385
7,9,0.4922800660133362
7,14,0.4958159625530243
7,21,0.5250537991523743
7,23,0.559009850025177
7,31,0.5158622860908508
7,35,0.5475606322288513
7,48,0.4824899137020111
8,9,0.48720604181289673
8,21,0.5354347825050354
8,23,0.5300129652023315
8,33,0.50175541639328
8,43,0.5049194693565369
8,47,0.49358904361724854
8,62,0.5057951807975769
9,36,0.4937688410282135
9,43,0.5497925281524658
9,62,0.47616124153137207
16,20,0.49321284890174866
16,52,0.4297657907009125
20,23,0.5209423899650574
20,31,0.49162909388542175
20,35,0.4929322302341461
20,43,0.5293091535568237
20,56,0.4861825406551361
20,59,0.4858265817165375
21,23,0.5300052165985107
21,43,0.5435181856155396
21,47,0.5575905442237854
21,48,0.5325446724891663
21,59,0.5236937999725342
21,62,0.5347751379013062
21,63,0.5421916842460632
23,34,0.5170198678970337
23,36,0.5550950765609741
23,43,0.5548461675643921
23,47,0.516790509223938
23,62,0.5277977585792542
25,63,0.5324538350105286
31,58,0.4658994972705841
32,33,0.4564708173274994
35,43,0.4951567053794861
35,47,0.4853598177433014
35,48,0.47284457087516785
35,58,0.47421860694885254
35,63,0.5306946039199829
36,58,0.5567471981048584
39,47,0.475948303937912
39,48,0.4806016683578491
43,47,0.5009520053863525
43,62,0.5070750713348389
43,63,0.5371052622795105
47,62,0.48798078298568726
47,63,0.5210620164871216
48,63,0.5291191935539246
50,63,0.5035602450370789
52,58,0.47196075320243835
52,59,0.41693320870399475
62,63,0.5134960412979126
