source,target,weight
1,12,0.6324795484542847
1,18,0.6273065209388733
1,34,0.6456508040428162
4,24,0.6172513365745544
4,29,0.627382755279541
4,30,0.6421927213668823
4,33,0.6513562798500061
4,42,0.6159934997558594
5,11,0.633928656578064
8,11,0.6233034133911133
8,18,0.6396751403808594
8,19,0.6343445181846619
8,22,0.6359323859214783
8,37,0.6108644008636475
9,19,0.602993905544281
9,22,0.6107354164123535
9,32,0.6147989630699158
9,34,0.5911198258399963
11,18,0.6421825289726257
11,24,0.6314417719841003
11,35,0.6246516108512878
12,42,0.6055423021316528
18,30,0.6363041996955872
18,39,0.6412225365638733
19,24,0.6271239519119263
22,24,0.6269038319587708
22,30,0.6345961689949036
24,50,0.6356900930404663
25,32,0.6351331472396851
25,39,0.6232261061668396
29,50,0.6098641753196716
30,37,0.6454939842224121
30,50,0.6272005438804626
32,39,0.6264865398406982
32,51,0.6216393113136292
32,63,0.6225926280021667
33,42,0.6055423021316528
34,51,0.6221361756324768
37,44,0.6099388003349304
39,51,0.6220781207084656
44,50,0.6237372159957886
