Layer,Centrality_Metric,Correlation_Algorithm,Coefficient,P_Value
aggregated,Degree,Oracle_KL,,
aggregated,Degree,Predicted_KL,,
aggregated,Degree,Usage_Frequency,,
aggregated,Degree,Routing_Similarity,,
aggregated,Degree,Specialization,,
aggregated,Weighted_Degree,Oracle_KL,,
aggregated,Weighted_Degree,Predicted_KL,,
aggregated,Weighted_Degree,Usage_Frequency,,
aggregated,Weighted_Degree,Routing_Similarity,,
aggregated,Weighted_Degree,Specialization,,
aggregated,Betweenness,Oracle_KL,,
aggregated,Betweenness,Predicted_KL,,
aggregated,Betweenness,Usage_Frequency,,
aggregated,Betweenness,Routing_Similarity,,
aggregated,Betweenness,Specialization,,
aggregated,Closeness,Oracle_KL,,
aggregated,Closeness,Predicted_KL,,
aggregated,Closeness,Usage_Frequency,,
aggregated,Closeness,Routing_Similarity,,
aggregated,Closeness,Specialization,,
aggregated,Eigenvector,Oracle_KL,,
aggregated,Eigenvector,Predicted_KL,,
aggregated,Eigenvector,Usage_Frequency,,
aggregated,Eigenvector,Routing_Similarity,,
aggregated,Eigenvector,Specialization,,
aggregated,PageRank,Oracle_KL,,
aggregated,PageRank,Predicted_KL,,
aggregated,PageRank,Usage_Frequency,,
aggregated,PageRank,Routing_Similarity,,
aggregated,PageRank,Specialization,,
