Layer,Comparison,ARI,NMI
first,k3_vs_k5,0.29687193460490463,0.9579319396724932
first,k5_vs_k8,0.26145450411187326,0.9193035917865178
first,k3_vs_k8,0.07655481182676536,0.9073722729175113
middle,k3_vs_k5,0.23535956306260747,0.8638898108128124
middle,k5_vs_k8,0.27766140590415295,0.7963636346024336
middle,k3_vs_k8,0.09844684352048802,0.795479093998897
last,k3_vs_k5,0.3546941519157517,0.9106675829112555
last,k5_vs_k8,0.25853658536585367,0.8771653083096277
last,k3_vs_k8,0.3278319579894974,0.8980638380767312
aggregated,k3_vs_k5,0.18968692449355432,0.9153472739798929
aggregated,k5_vs_k8,0.2591093117408907,0.8651503917279174
aggregated,k3_vs_k8,0.16211121583411875,0.8494348230732737
