layer,q,Oracle_rho,NullA_rho,NullB_rho,Oracle_RMSE,NullA_RMSE,NullB_RMSE,Oracle_Stress,NullA_Stress,NullB_Stress
first,1,"0.4759 [0.4039, 0.5479]","0.0046 [-0.0140, 0.0231]","0.2009 [0.1742, 0.2276]","0.0026 [0.0025, 0.0028]","0.0042 [0.0042, 0.0043]","6.9042 [6.8138, 6.9945]","0.4843 [0.4543, 0.5143]","0.7234 [0.7162, 0.7306]","0.6079 [0.6007, 0.6151]"
first,2,"0.6042 [0.5524, 0.6560]","0.0083 [-0.0114, 0.0279]","0.2898 [0.2708, 0.3088]","0.0020 [0.0018, 0.0021]","0.0036 [0.0035, 0.0037]","4.9445 [4.8624, 5.0265]","0.3613 [0.3410, 0.3816]","0.6153 [0.6089, 0.6218]","0.4358 [0.4285, 0.4431]"
first,3,"0.6301 [0.5769, 0.6832]","-0.0016 [-0.0208, 0.0177]","0.3220 [0.3001, 0.3439]","0.0017 [0.0016, 0.0019]","0.0034 [0.0033, 0.0035]","4.0702 [4.0008, 4.1397]","0.3236 [0.3031, 0.3442]","0.5783 [0.5715, 0.5851]","0.3586 [0.3531, 0.3641]"
first,4,"0.6257 [0.5781, 0.6733]","-0.0039 [-0.0250, 0.0172]","0.3234 [0.3028, 0.3440]","0.0017 [0.0016, 0.0018]","0.0033 [0.0032, 0.0033]","3.5258 [3.4430, 3.6085]","0.3177 [0.2963, 0.3390]","0.5564 [0.5502, 0.5627]","0.3108 [0.3032, 0.3184]"
first,5,"0.5764 [0.5228, 0.6300]","0.0191 [0.0009, 0.0373]","0.3122 [0.2935, 0.3309]","0.0018 [0.0017, 0.0019]","0.0032 [0.0031, 0.0032]","3.2506 [3.1738, 3.3273]","0.3287 [0.3079, 0.3495]","0.5399 [0.5338, 0.5460]","0.2865 [0.2798, 0.2931]"
first,6,"0.5502 [0.4858, 0.6146]","0.0086 [-0.0127, 0.0300]","0.3477 [0.3280, 0.3674]","0.0017 [0.0016, 0.0018]","0.0031 [0.0031, 0.0032]","2.9248 [2.8609, 2.9888]","0.3201 [0.2980, 0.3422]","0.5321 [0.5264, 0.5378]","0.2579 [0.2523, 0.2634]"
first,7,"0.5770 [0.5204, 0.6336]","0.0155 [-0.0007, 0.0317]","0.3541 [0.3379, 0.3703]","0.0017 [0.0016, 0.0019]","0.0031 [0.0030, 0.0031]","2.7232 [2.6712, 2.7752]","0.3216 [0.2992, 0.3440]","0.5252 [0.5194, 0.5311]","0.2400 [0.2355, 0.2445]"
first,8,"0.5608 [0.4991, 0.6226]","-0.0006 [-0.0199, 0.0187]","0.3551 [0.3356, 0.3747]","0.0017 [0.0016, 0.0018]","0.0031 [0.0030, 0.0031]","2.4952 [2.4475, 2.5429]","0.3230 [0.2989, 0.3472]","0.5230 [0.5173, 0.5287]","0.2200 [0.2158, 0.2242]"
first,9,"0.5371 [0.4831, 0.5912]","0.0071 [-0.0124, 0.0265]","0.3937 [0.3713, 0.4162]","0.0018 [0.0017, 0.0019]","0.0030 [0.0030, 0.0031]","2.3791 [2.3302, 2.4279]","0.3365 [0.3134, 0.3596]","0.5168 [0.5117, 0.5219]","0.2097 [0.2051, 0.2142]"
middle,1,"0.6198 [0.5591, 0.6805]","0.0070 [-0.0096, 0.0237]","0.2325 [0.2059, 0.2591]","0.0014 [0.0013, 0.0015]","0.0060 [0.0058, 0.0063]","6.8797 [6.8120, 6.9473]","0.4014 [0.3603, 0.4425]","0.9216 [0.9133, 0.9299]","0.6089 [0.6031, 0.6146]"
