layer,q,test_train_spearman_mean,test_train_spearman_ci_lo,test_train_spearman_ci_hi,test_train_spearman_std,test_train_spearman_n,test_train_pearson_mean,test_train_pearson_ci_lo,test_train_pearson_ci_hi,test_train_pearson_std,test_train_pearson_n,test_train_rmse_mean,test_train_rmse_ci_lo,test_train_rmse_ci_hi,test_train_rmse_std,test_train_rmse_n,test_train_mae_mean,test_train_mae_ci_lo,test_train_mae_ci_hi,test_train_mae_std,test_train_mae_n,test_train_norm_stress_mean,test_train_norm_stress_ci_lo,test_train_norm_stress_ci_hi,test_train_norm_stress_std,test_train_norm_stress_n,test_test_spearman_mean,test_test_spearman_ci_lo,test_test_spearman_ci_hi,test_test_spearman_std,test_test_spearman_n,test_test_pearson_mean,test_test_pearson_ci_lo,test_test_pearson_ci_hi,test_test_pearson_std,test_test_pearson_n,test_test_rmse_mean,test_test_rmse_ci_lo,test_test_rmse_ci_hi,test_test_rmse_std,test_test_rmse_n,test_test_mae_mean,test_test_mae_ci_lo,test_test_mae_ci_hi,test_test_mae_std,test_test_mae_n,test_test_norm_stress_mean,test_test_norm_stress_ci_lo,test_test_norm_stress_ci_hi,test_test_norm_stress_std,test_test_norm_stress_n
first,1,0.11471167322216688,0.10954677490791165,0.11987657153642212,0.014433323030295897,30,0.1496836041636594,0.1439939747895746,0.15537323353774418,0.01589968546954204,30,0.003784184941831438,0.003766590421991946,0.0038017794616709297,4.916793573756064e-05,30,0.0028921306374155623,0.0028791950854370283,0.0029050661893940963,3.6148436798079355e-05,30,0.6531791938519107,0.6511106991229422,0.6552476885808792,0.0057804144037580975,30,0.0045589490803924935,-0.013970862705543971,0.02308876086632896,0.051781611742257615,30,-0.005883468193089737,-0.02291056454531202,0.011143628159132543,0.04758226918839833,30,0.00421995218256496,0.004161910392857672,0.004277993972272247,0.00016219794643189972,30,0.0032143828545383715,0.0031771176175317,0.003251648091545043,0.0001041378108129096,30,0.7234300494246958,0.7162244886371227,0.7306356102122689,0.020135960116471813,30
first,2,0.15464445672900184,0.1487385262871119,0.1605503871708918,0.01650413941877332,30,0.19900754134219945,0.19231236007195124,0.20570272261244765,0.018709703103576742,30,0.0032025046901603673,0.003184240897133827,0.0032207684831869077,5.103822156245761e-05,30,0.0023172203087517885,0.0023045761471527895,0.0023298644703507875,3.533414555363377e-05,30,0.552689410752693,0.5504293135217553,0.5549495079836306,0.006315848140507725,30,0.008250034240587796,-0.011360132330697485,0.027860200811873077,0.05480066626289127,30,0.00992849249610599,-0.008101505761327316,0.027958490753539296,0.05038488141517888,30,0.0035990726239067527,0.003530820882268314,0.0036673243655451914,0.00019072968614483447,30,0.002568836763902837,0.0025330451484168602,0.0026046283793888137,0.00010001977128173781,30,0.6153189918120857,0.6088784209364315,0.6217595626877399,0.017998193631666333,30
first,3,0.18367413201034236,0.17703199502274652,0.1903162689979382,0.018561470704824706,30,0.23373101755984785,0.22813135284362382,0.23933068227607188,0.015648278977253398,30,0.00295316549612006,0.0029355166929458235,0.002970814299294297,4.931963067090962e-05,30,0.002065063657085029,0.0020530106829918086,0.0020771166311782494,3.3682070387153836e-05,30,0.509616121482829,0.5074592366418444,0.5117730063238135,0.0060274208232048414,30,-0.0015835706581975228,-0.020846211807411762,0.017679070491016715,0.05382950548240753,30,-0.0009815803481806492,-0.019170950775320487,0.017207790078959187,0.05083024739674422,30,0.0033831464811438796,0.0033151946234693266,0.0034510983388184326,0.0001898916595547619,30,0.002343462229366346,0.002309239247432266,0.002377685211300426,9.563622035911896e-05,30,0.5783009532598092,0.5714654512119915,0.5851364553076269,0.01910182991562495,30
first,4,0.210984542890238,0.20461750079005117,0.2173515849904248,0.017792717259476475,30,0.2642235063291608,0.2586977911700997,0.2697492214882219,0.01544162672941836,30,0.0028244984090773067,0.002805652825547764,0.0028433439926068495,5.2664036777950805e-05,30,0.0019253819685966873,0.0019130999617146523,0.0019376639754787224,3.4322103166960774e-05,30,0.48736672382749313,0.4850579947456199,0.48967545290936637,0.0064517499862763485,30,-0.0039021161469678443,-0.024976554624282478,0.01717232233034679,0.05889257826928597,30,-0.008246210892938536,-0.028749588315064623,0.012257166529187551,0.057296746526227446,30,0.0032567626290847043,0.0031895234193732953,0.0033240018387961133,0.00018790016279468985,30,0.0022179195177617975,0.0021866423162087848,0.00224919671931481,8.740422870520756e-05,30,0.5564438846764416,0.5502248065225873,0.5626629628302958,0.017379231590579265,30
first,5,0.23190644359107496,0.22497527795987288,0.23883760922227704,0.019369162071499593,30,0.28910892189616205,0.2830641498347752,0.2951536939575489,0.01689213271938058,30,0.0027509080983211132,0.0027324946724677987,0.0027693215241744278,5.145637092249596e-05,30,0.0018434618837931114,0.001830762159967212,0.0018561616076190107,3.5489414354749004e-05,30,0.47464268781532987,0.472395094607977,0.4768902810226827,0.0062809056110334,30,0.019074974273160558,0.0008858906524152575,0.037264057893905855,0.0508294459154589,30,0.00530912910160796,-0.011392766860529906,0.022011025063745828,0.04667349577330286,30,0.0031617701997780513,0.003097229165130298,0.0032263112344258047,0.00018036010490457712,30,0.002114256580353631,0.0020852241433417904,0.002143289017365472,8.113122780986241e-05,30,0.5399353848919561,0.5338403953292129,0.5460303744546994,0.01703246566976022,30
first,6,0.25250361976566155,0.24496709289006607,0.260040146641257,0.021060845790854966,30,0.313816249193887,0.3082668545401208,0.3193656438476532,0.015507799144726093,30,0.0027008820952285854,0.002683685247326568,0.0027180789431306028,4.805664037714401e-05,30,0.0017895033464523755,0.001777681770743382,0.001801324922161369,3.303542694423903e-05,30,0.46601455876707326,0.4639500267494994,0.4680790907846471,0.005769340595494113,30,0.008636065993330302,-0.012679110519371331,0.029951242506031935,0.059565321393933605,30,0.0025927716404054377,-0.01375609379504841,0.018941637075859285,0.04568695096231935,30,0.0031166069417871258,0.003054920719379606,0.0031782931641946457,0.00017238232397897657,30,0.0020761264762744077,0.0020443017579155893,0.002107951194633226,8.893426597639572e-05,30,0.5320952480340574,0.5264095739666279,0.5377809221014869,0.015888632353843198,30
first,7,0.26763505753478095,0.2610306139985341,0.2742395010710278,0.018456136247814246,30,0.33398112278317943,0.3287853655084305,0.33917688005792834,0.014519558483171104,30,0.0026678656207821958,0.002650864870253463,0.0026848663713109283,4.750864570971777e-05,30,0.0017526808445941196,0.0017414136937904162,0.001763947995397823,3.1486084969391945e-05,30,0.4602974314051454,0.4582636480281753,0.4623312147821155,0.005683413431865095,30,0.015514737796997368,-0.0006775913253201891,0.03170706691931492,0.04524950979000589,30,0.006749449230632902,-0.008078731719175086,0.021577630180440892,0.04143739384172559,30,0.003077244719210947,0.0030135070673546274,0.003140982371067267,0.00017811504940876157,30,0.002038949085679956,0.0020082224605614016,0.0020696757107985107,8.586564129304648e-05,30,0.5252350624780948,0.5193557086115195,0.5311144163446702,0.01642987110346205,30
first,8,0.2848968067194863,0.2788663127346348,0.2909273007043378,0.016852232593889665,30,0.353452211844743,0.34855830622557205,0.358346117463914,0.013676033173067412,30,0.0026424310739908896,0.002624908008687057,0.002659954139294722,4.896825583441405e-05,30,0.0017247523660468473,0.0017130259467853745,0.0017364787853083202,3.2769511980978186e-05,30,0.4558997425693745,0.4538156338276552,0.45798385131109376,0.005824047806802839,30,-0.0005742453276932823,-0.019881100243068738,0.01873260958768217,0.05395306097770731,30,-0.010473839852618556,-0.02934771581704866,0.008400036111811547,0.052743100067719074,30,0.0030643937060815408,0.0030029883196011475,0.003125799092561934,0.0001715975271818074,30,0.0020214049956104644,0.0019925072665834447,0.002050302724637484,8.075478596311423e-05,30,0.5229715091609587,0.5172788162772104,0.528664202044707,0.015908246456010744,30
first,9,0.29762929838054036,0.2908522817959296,0.30440631496515114,0.018938392122336393,30,0.370192163151531,0.3653314476708286,0.37505287863223336,0.013583283236710453,30,0.0026238715064387788,0.0026063927620211622,0.0026413502508563953,4.884440099181728e-05,30,0.0017056810790936142,0.0016944828927322913,0.001716879265454937,3.1293363638996214e-05,30,0.4526976998539395,0.45061180988391597,0.454783589823963,0.005829025454365548,30,0.007065646237382495,-0.012350549454877898,0.026481841929642886,0.05425861408972271,30,0.003535689855555853,-0.015357954530030141,0.022429334241141848,0.0527983429768688,30,0.003028318639837664,0.002971167845414884,0.003085469434260444,0.00015970805757498506,30,0.001991127062244572,0.001964754360838803,0.002017499763650341,7.369858909330567e-05,30,0.5167951568729842,0.5116682213101493,0.521922092435819,0.014327236013469784,30
last,1,0.15098004457729006,0.14651884016940248,0.15544124898517764,0.01246684840735462,30,0.14672093584046403,0.14190911672423528,0.15153275495669277,0.013446642207107415,30,0.003755461007804489,0.003742119999516261,0.0037688020160927174,3.728148560880552e-05,30,0.0030347971684994922,0.0030244130378796297,0.003045181299119355,2.901848255397423e-05,30,0.638721974001067,0.6369827228840353,0.6404612251180987,0.004860342193695296,30,-0.01060215834294806,-0.029328238888517974,0.008123922202621855,0.05233008534932291,30,-0.011487881553407379,-0.030217262620860018,0.007241499514045261,0.052339308667112235,30,0.00417170378325994,0.00412535119496266,0.00421805637155722,0.00012953243984270614,30,0.003382722976762286,0.0033410075743299105,0.0034244383791946615,0.00011657381075315317,30,0.7135181919252467,0.7043609994698597,0.7226753843806336,0.02558980036342628,30
