layer,q,test_train_spearman_mean,test_train_spearman_ci_lo,test_train_spearman_ci_hi,test_train_spearman_std,test_train_spearman_n,test_train_pearson_mean,test_train_pearson_ci_lo,test_train_pearson_ci_hi,test_train_pearson_std,test_train_pearson_n,test_train_rmse_mean,test_train_rmse_ci_lo,test_train_rmse_ci_hi,test_train_rmse_std,test_train_rmse_n,test_train_mae_mean,test_train_mae_ci_lo,test_train_mae_ci_hi,test_train_mae_std,test_train_mae_n,test_train_norm_stress_mean,test_train_norm_stress_ci_lo,test_train_norm_stress_ci_hi,test_train_norm_stress_std,test_train_norm_stress_n,test_test_spearman_mean,test_test_spearman_ci_lo,test_test_spearman_ci_hi,test_test_spearman_std,test_test_spearman_n,test_test_pearson_mean,test_test_pearson_ci_lo,test_test_pearson_ci_hi,test_test_pearson_std,test_test_pearson_n,test_test_rmse_mean,test_test_rmse_ci_lo,test_test_rmse_ci_hi,test_test_rmse_std,test_test_rmse_n,test_test_mae_mean,test_test_mae_ci_lo,test_test_mae_ci_hi,test_test_mae_std,test_test_mae_n,test_test_norm_stress_mean,test_test_norm_stress_ci_lo,test_test_norm_stress_ci_hi,test_test_norm_stress_std,test_test_norm_stress_n
first,2,0.3464327422703028,,,,1,0.35279605405044456,,,,1,4.50020332514747,,,,1,3.703206360955027,,,,1,0.3992661643425091,,,,1,0.2633563753457953,,,,1,0.25394023353960093,,,,1,4.951405915778729,,,,1,3.977407244171284,,,,1,0.43774617122293175,,,,1
first,4,0.362714670638277,,,,1,0.37437303949158174,,,,1,2.917305210840072,,,,1,2.351416088408297,,,,1,0.25882348995919935,,,,1,0.2755015700339713,,,,1,0.23624673757600836,,,,1,3.5202504860761445,,,,1,2.68697143793852,,,,1,0.3120486535698464,,,,1
first,6,0.43286710299263087,,,,1,0.44770375156284403,,,,1,2.2056438546449812,,,,1,1.8134745121774785,,,,1,0.1956854922870303,,,,1,0.3487582963041115,,,,1,0.31260455782949953,,,,1,2.8707972635754317,,,,1,2.0998749547912388,,,,1,0.2544480033598272,,,,1
first,8,0.47774304922520033,,,,1,0.4992634455507873,,,,1,1.8034796686626446,,,,1,1.4889564477353634,,,,1,0.16001196784958943,,,,1,0.3742879074449072,,,,1,0.35660591066370717,,,,1,2.430917605137322,,,,1,1.889005700054406,,,,1,0.2155940184158715,,,,1
last,2,0.38355375937314706,,,,1,0.39475910666553654,,,,1,4.452138341136674,,,,1,3.6565240970473396,,,,1,0.39443454896869234,,,,1,0.31536216664499295,,,,1,0.3061551097070316,,,,1,4.763276829255562,,,,1,3.803880656603102,,,,1,0.42045943114505413,,,,1
last,4,0.4046518002739896,,,,1,0.41823984794894836,,,,1,2.9052771508246726,,,,1,2.3494119726321405,,,,1,0.25738151192981273,,,,1,0.3443402393940841,,,,1,0.32718496199543584,,,,1,3.5719939779840515,,,,1,2.756897457090623,,,,1,0.31555846097641044,,,,1
last,6,0.48814498394299255,,,,1,0.5056283602178083,,,,1,2.16652083749526,,,,1,1.7818506847774682,,,,1,0.19194300400729686,,,,1,0.371491595500664,,,,1,0.36911823955364237,,,,1,2.7624720379334287,,,,1,2.088558017437955,,,,1,0.2435189060682854,,,,1
last,8,0.5091773465298538,,,,1,0.5305849841280731,,,,1,1.786732481096287,,,,1,1.4819621718351352,,,,1,0.15829227965414072,,,,1,0.41383441044124963,,,,1,0.4128838575110915,,,,1,2.4503082944260846,,,,1,1.8643591889325843,,,,1,0.21668700122462173,,,,1
middle,2,0.3648649402688197,,,,1,0.3779008595434156,,,,1,4.449372773880026,,,,1,3.6662619210612646,,,,1,0.39592464420432155,,,,1,0.2811829772343658,,,,1,0.27425158526062576,,,,1,4.888136435341899,,,,1,4.034536487881297,,,,1,0.43325118985026556,,,,1
middle,4,0.3864510294435096,,,,1,0.40293228952489385,,,,1,2.8936590354346836,,,,1,2.3442136872288284,,,,1,0.25747794246876665,,,,1,0.3314108525141965,,,,1,0.30622163099293764,,,,1,3.3896334852471304,,,,1,2.606023242169559,,,,1,0.3010055111754052,,,,1
middle,6,0.45015551202228765,,,,1,0.4703902378720978,,,,1,2.192541840733628,,,,1,1.7916632731234514,,,,1,0.19509380125720774,,,,1,0.3861443600797464,,,,1,0.3575283994199236,,,,1,2.686540901912538,,,,1,2.0637855358234134,,,,1,0.23915545597706345,,,,1
middle,8,0.502035878948693,,,,1,0.5313609415633486,,,,1,1.777083194064699,,,,1,1.467676827092735,,,,1,0.158125995103205,,,,1,0.35407957242077776,,,,1,0.347815070809579,,,,1,3.0023731154645565,,,,1,2.371644547244799,,,,1,0.26664335386831944,,,,1
