q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
2,51,13,0.3388094489480663,0.3441230170230928,4.485008929803984,3.707501027880708,0.3966208602526766,0.2965768408806383,0.2418580111034312,5.584150840017999,4.741266833908122,0.48642759136861347,first,null_b,0,0,0,4202
4,51,13,0.37609986637641596,0.3799203174358484,2.9178731306240486,2.35180867551447,0.2580350160477518,0.3544936076581646,0.2866405821822964,3.0910744419019394,2.23565972039109,0.2692591834626364,first,null_b,0,0,0,4204
6,51,13,0.4386911839234011,0.4453193220061813,2.203166765273476,1.8132979731154213,0.19483169630189864,0.42242567559023253,0.38840908156370146,2.5763171420403452,1.7986465826612317,0.22441939301201178,first,null_b,0,0,0,4206
8,51,13,0.4928086942786936,0.507667661636775,1.7888187675292961,1.4632611174481867,0.15818983853051327,0.3481455253607152,0.3438175881846953,2.355276835093113,1.8568299349719264,0.205164880162324,first,null_b,0,0,0,4208
2,51,13,0.3131859779070623,0.32115434275942467,4.538247470647876,3.74406918328354,0.4008749470303984,0.23807837731888365,0.1826179601671875,4.705653345492678,3.798328574179893,0.4070679732375954,first,null_b,0,0,1,4212
4,51,13,0.38183602065573885,0.3917174855005004,2.933131908954797,2.3756842241465934,0.259091005116027,0.4196436474917487,0.3823897441562816,3.270746715044738,2.5539491514542667,0.2829397192086164,first,null_b,0,0,1,4214
6,51,13,0.3764672777039999,0.40342571279523964,2.254859872727596,1.8738468447602126,0.19917751023647984,0.1346628055488815,0.10011878590007814,3.0918424697270352,2.4382426564342166,0.26746340100195637,first,null_b,0,0,1,4216
8,51,13,0.47925750382975757,0.507959975879132,1.7990872580051047,1.5066309419259416,0.15891795542672377,0.3822127239848758,0.4114697241389831,2.2854682200764094,1.779571997295829,0.1977070659351837,first,null_b,0,0,1,4218
2,51,13,0.38282988003194574,0.39418138005878833,4.4584997059364255,3.6557971805140563,0.39785393518052603,0.50821330568166,0.504281508228309,4.285173357001351,3.377904688140941,0.39521203500372887,first,null_b,0,0,2,4222
4,51,13,0.3388004726318707,0.35994144491632585,2.8996555714506367,2.3328092206825257,0.25875057886259795,0.3323638386929526,0.3123823230318985,3.4523316593764126,2.6227933086346815,0.31840089231879404,first,null_b,0,0,2,4224
6,51,13,0.4262183866908077,0.44168120236978375,2.1780302430104603,1.792964074768374,0.19435638898217866,0.4350459666915363,0.3792621922991682,3.0417716970768613,2.1441410300441843,0.28053585754106364,first,null_b,0,0,2,4226
8,51,13,0.502090122873416,0.5222133495132586,1.7955196875183135,1.4815003786035854,0.16022308410654756,0.39501005323790134,0.3776473318122523,2.6235809608758873,2.0235021906780943,0.2419670534100334,first,null_b,0,0,2,4228
2,51,13,0.37985031951568077,0.38448110727401535,4.469992570045537,3.6739736167661206,0.39997218675880564,0.15519923114859824,0.201480728806524,4.8001143402559565,3.5813688520214497,0.43195019425830933,first,null_b,0,0,3,4232
4,51,13,0.3786190406936765,0.3870652466955815,2.8699199651709013,2.292325489484226,0.2567986738914125,0.1621037190657444,0.16237670532128928,4.107850656292732,3.291437803970001,0.3696551296890885,first,null_b,0,0,3,4234
6,51,13,0.47686082740553326,0.48430007020641463,2.1793280660611156,1.7896266283857563,0.19500493537474117,0.31147333678979244,0.2965445539106123,2.9676903119353413,2.1288883161858667,0.26705497325103694,first,null_b,0,0,3,4236
8,51,13,0.4460622218474313,0.4707135082067985,1.803785492594185,1.4824343023264261,0.16140161680612272,0.3036330757849745,0.2538728597434281,2.5923845464328843,2.0603485849042604,0.23328215310058914,first,null_b,0,0,3,4238
2,52,12,0.3174880849487591,0.32004042313690206,4.549267949303529,3.7346907963307103,0.40100889249013905,0.11871412169919633,0.13946295939255318,5.381937696125657,4.388167272606014,0.46807306224641193,first,null_b,0,0,4,4242
4,52,12,0.33821795283368317,0.35322070290965246,2.9659454779999757,2.404452832213669,0.2614421758782077,0.10890303726124623,0.03744433318827622,3.6792489577648992,2.731017205242561,0.3199883431700966,first,null_b,0,0,4,4244
6,52,12,0.4460978392394123,0.463792450436601,2.2128343261522585,1.797637039857627,0.19505693053985354,0.44018369690011494,0.3986881754739378,2.676364697097575,1.9894561886306923,0.23276639199306778,first,null_b,0,0,4,4246
8,52,12,0.46849670329670334,0.48776273251797236,1.8301871376663243,1.5109554983726776,0.16132734437804006,0.44243815885606935,0.396222049439177,2.297877463208316,1.7247757924219194,0.19984893947122737,first,null_b,0,0,4,4248
2,51,13,0.36927094853968506,0.37910159588862147,4.452980856572496,3.6747848035128854,0.398770011312854,0.14986279543241565,0.16530169371749837,4.530740456814831,3.618807072209548,0.40854967565939454,middle,null_b,0,0,0,4202
4,51,13,0.37312462931519924,0.38878800295326604,2.879181000480399,2.3116820741179094,0.2578342636345962,0.44496010318795126,0.42394279203470975,3.14083574946625,2.3492815302861314,0.2832180388558309,middle,null_b,0,0,0,4204
6,51,13,0.4296913151917316,0.43830748534515684,2.1871448172292496,1.758064916355472,0.19586155692137297,0.29872658986583034,0.26575364061630635,2.609778041773294,2.007718973156308,0.235331064021941,middle,null_b,0,0,0,4206
8,51,13,0.4649106741246403,0.4975243617437598,1.7842191212201919,1.4644821285597296,0.15977905633783251,0.3937454950113178,0.41043054203085305,3.5358399690501536,2.9054381529961897,0.31883668603575516,middle,null_b,0,0,0,4208
2,51,13,0.32521881211878445,0.3467474269565536,4.466692432900011,3.685693120620263,0.3976074020936635,0.10180958282224103,0.07812312683739554,4.673881193523584,3.724327058309256,0.4175498700724881,middle,null_b,0,0,1,4212
4,51,13,0.41549205941893086,0.4273315830567837,2.8740100278745033,2.3441944962746217,0.2558330751312555,0.3707052441229656,0.3181653382274301,3.1409794203351744,2.3688443539002315,0.28060523889195715,middle,null_b,0,0,1,4214
