layer,q,test_train_spearman_mean,test_train_spearman_ci_lo,test_train_spearman_ci_hi,test_train_spearman_std,test_train_spearman_n,test_train_pearson_mean,test_train_pearson_ci_lo,test_train_pearson_ci_hi,test_train_pearson_std,test_train_pearson_n,test_train_rmse_mean,test_train_rmse_ci_lo,test_train_rmse_ci_hi,test_train_rmse_std,test_train_rmse_n,test_train_mae_mean,test_train_mae_ci_lo,test_train_mae_ci_hi,test_train_mae_std,test_train_mae_n,test_train_norm_stress_mean,test_train_norm_stress_ci_lo,test_train_norm_stress_ci_hi,test_train_norm_stress_std,test_train_norm_stress_n,test_test_spearman_mean,test_test_spearman_ci_lo,test_test_spearman_ci_hi,test_test_spearman_std,test_test_spearman_n,test_test_pearson_mean,test_test_pearson_ci_lo,test_test_pearson_ci_hi,test_test_pearson_std,test_test_pearson_n,test_test_rmse_mean,test_test_rmse_ci_lo,test_test_rmse_ci_hi,test_test_rmse_std,test_test_rmse_n,test_test_mae_mean,test_test_mae_ci_lo,test_test_mae_ci_hi,test_test_mae_std,test_test_mae_n,test_test_norm_stress_mean,test_test_norm_stress_ci_lo,test_test_norm_stress_ci_hi,test_test_norm_stress_std,test_test_norm_stress_n
first,2,0.7305431196082753,0.6926198982085935,0.7684663410079572,0.06118558971113947,10,0.8926377046511387,0.8721174494149586,0.9131579598873187,0.0331075228134313,10,0.00158198719369741,0.0015350870252647272,0.001628887362130093,7.566905861877903e-05,10,0.00122774341944477,0.0011974809950617382,0.0012580058438278019,4.882560641275342e-05,10,0.2749713593198509,0.26104886520602516,0.28889385343367663,0.02246264903570252,10,0.6241232638512064,0.5284341268144623,0.7198124008879505,0.15438552059800326,10,0.7166534404309441,0.5897761886183699,0.8435306922435184,0.2047046423420722,10,0.00187300138655607,0.0016990261407689635,0.0020469766323431763,0.00028069287406881096,10,0.00144786370832318,0.0012856399606082,0.00161008745603816,0.0002617329251774859,10,0.3415835915043962,0.3043358929298524,0.37883129007894,0.06009569647702321,10
first,4,0.8017299758259835,0.7760500863658699,0.8274098652860971,0.04143211263026043,10,0.9379375283046872,0.9258971537122621,0.9499779028971124,0.019426024282492363,10,0.00104722069940097,0.0010178376419303652,0.001076603756871575,4.7406829707519154e-05,10,0.0008221998646347,0.0007995548701683798,0.0008448448591010202,3.653559189565357e-05,10,0.18192801751993115,0.17366554871232778,0.19019048632753452,0.013330724759246033,10,0.6762032828309043,0.5488899734368629,0.8035165922249456,0.20540818068310313,10,0.7531367300162214,0.6006334167399605,0.9056400432924823,0.24604990850774464,10,0.0014954385898502801,0.0012576319299192728,0.0017332452497812875,0.00038367892251994063,10,0.00108025558390468,0.0009006119323503187,0.0012598992354590415,0.0002898383194395048,10,0.2735740477598411,0.2218524671949323,0.32529562832474995,0.08344795855561746,10
first,6,0.8530755561182272,0.829248628954729,0.8769024832817254,0.03844253034672937,10,0.9591219247041429,0.9520493527307834,0.9661944966775025,0.011410936913922398,10,0.00081999343079358,0.000796781391703606,0.0008432054698835541,3.745046564345923e-05,10,0.00065948093303027,0.000637404496518978,0.0006815573695415619,3.561827652846134e-05,10,0.14243891448935203,0.13611161660779403,0.14876621237091003,0.010208506500041637,10,0.5735477067802781,0.45833699915619264,0.6887584144043636,0.185881758638692,10,0.7480608627027161,0.6126976560677776,0.8834240693376546,0.2183959409951134,10,0.0016392780210936,0.0012917371787594756,0.0019868188634277247,0.0005607248171986238,10,0.0012411025750268102,0.000922689505809155,0.0015595156442444655,0.000513729865047265,10,0.2890614996575227,0.2516523918577829,0.32647060745726253,0.06035611524589184,10
first,8,0.8809616107324697,0.8612038179933879,0.9007194034715515,0.0318773605066507,10,0.9699090080106609,0.9648011948179103,0.9750168212034116,0.008240981403953393,10,0.0006850557683691701,0.0006600571275651525,0.0007100544091731877,4.033298130057069e-05,10,0.0005461053446333601,0.0005289016834930487,0.0005633090057736715,2.775650678424152e-05,10,0.11888480972631861,0.11397892212683174,0.12379069732580548,0.007915193244466545,10,0.6117017311047162,0.5236897455750529,0.6997137166343794,0.14199915085077391,10,0.7208653467443464,0.5867097039862561,0.8550209895024368,0.21644764902012187,10,0.0016782791186155,0.0014347508354418572,0.0019218074017891427,0.0003929102293363111,10,0.00130425823132961,0.001060494714423956,0.001548021748235264,0.0003932897570789933,10,0.3059604867462052,0.25386063815646287,0.3580603353359475,0.08405825882321283,10
last,2,0.8341891063898499,0.8195353008786417,0.8488429119010581,0.023642551941094953,10,0.8194749057912585,0.8093996088830863,0.8295502026994307,0.016255554251161573,10,0.00180787377146836,0.001745933144846911,0.0018698143980898092,9.993543868461188e-05,10,0.00122878889188837,0.001195905319705042,0.0012616724640716979,5.3054584541771646e-05,10,0.3072473400747472,0.3044125157082631,0.31008216444123127,0.004573725390119149,10,0.7787614690240799,0.7296676727715096,0.8278552652766503,0.07920827303181699,10,0.7961314010904181,0.7556662829259715,0.8365965192548648,0.06528670366709353,10,0.0018755409494035798,0.0016592999443773059,0.0020917819544298537,0.00034888474459537986,10,0.00128846606432399,0.0011441537202177715,0.0014327784084302085,0.00023283454176205437,10,0.3233145483891202,0.298411820744876,0.34821727603336444,0.04017823434012812,10
last,4,0.9058633045589606,0.8992778773959088,0.9124487317220124,0.010624974081828853,10,0.8959340719005147,0.8912222324960093,0.90064591130502,0.00760211453426965,10,0.00124355992251097,0.0012147211683392561,0.0012723986766826837,4.6528646971580536e-05,10,0.00090331392450879,0.0008784484307499469,0.0009281794182676332,4.011816092992139e-05,10,0.21151133410847195,0.20922972976369428,0.21379293845324962,0.003681156351445666,10,0.757726437552623,0.6732762285871375,0.8421766465181085,0.13625255571842154,10,0.7510590063154466,0.66693262791064,0.8351853847202533,0.1357300852348936,10,0.0018609023894635799,0.0014282156518175236,0.002293589127109636,0.0006980997981169694,10,0.0011872757737929,0.0009315415606716597,0.0014430099869141401,0.0004126033617826721,10,0.3143675089587377,0.26423949082664167,0.36449552709083377,0.08087689382022589,10
last,6,0.9348549991160165,0.9302668445617044,0.9394431536703287,0.007402560534949605,10,0.9254400599438437,0.9216170359833671,0.9292630839043203,0.006168093502297728,10,0.0010239085668452999,0.0009868947853229402,0.0010609223483676595,5.971829307475061e-05,10,0.0007769024721414401,0.0007500802736240428,0.0008037246706588374,4.327512202457491e-05,10,0.17404607872304736,0.17073208720421637,0.17736007024187836,0.005346817013258536,10,0.7386924430189119,0.684247179096964,0.7931377069408598,0.0878423682665037,10,0.7116654422079325,0.6412346307822963,0.7820962536335687,0.11363356201980689,10,0.00197083340435383,0.0016556817397154605,0.002285985068992199,0.0005084678921687716,10,0.0012594297260946701,0.0010726439112947943,0.001446215540894546,0.00030136153539693646,10,0.3363974114485036,0.3020303316162181,0.3707644912807891,0.05544808612186714,10
last,8,0.950226337742438,0.9460904795063358,0.9543621959785402,0.0066728225028823635,10,0.9424297777920753,0.939500816443791,0.9453587391403595,0.004725606652640724,10,0.0008916235583739799,0.0008540208763796181,0.0009292262403683417,6.066842920060519e-05,10,0.00068144927140475,0.0006514094454483053,0.0007114890973611947,4.846646455990366e-05,10,0.15153163963770772,0.14771101881546952,0.1553522604599459,0.0061642162623153085,10,0.6828886813167939,0.5938437897993307,0.7719335728342571,0.1436656485703014,10,0.6608042391456665,0.560270985371945,0.7613374929193881,0.1622010523023868,10,0.0020589317513167405,0.0016660621098968816,0.0024518013927365997,0.0006338586175614195,10,0.0013883208618632498,0.0011118067773559547,0.0016648349463705449,0.00044612975110169947,10,0.3520041874824299,0.3009480933298589,0.4030602816350009,0.08237425813986163,10
middle,2,0.8480662142542146,0.829734340174042,0.8663980883343871,0.02957677340446405,10,0.9867353342937312,0.9845133653559716,0.9889573032314908,0.0035849401701353767,10,0.00092976684007745,0.0008429297719080725,0.0010166039082468276,0.00014010353099313326,10,0.0006394726176365999,0.0006028020428403199,0.00067614319243288,5.916456095092355e-05,10,0.14272828127770332,0.13147197170329533,0.1539845908521113,0.01816100831790296,10,0.7668281312490646,0.6974261128946755,0.8362301496034537,0.11197370010851042,10,0.7750098460642093,0.6775897843939207,0.8724299077344979,0.15717820646539762,10,0.00112523258657487,0.00089210332565566,0.00135836184749408,0.00037613237435529735,10,0.0007706893962053799,0.0006344458638976728,0.000906932928513087,0.00021981626457096484,10,0.3046823930863888,0.23865080026930008,0.3707139859034775,0.10653583205653795,10
middle,4,0.9119065824914763,0.900389226031065,0.9234239389518876,0.018582183183140037,10,0.9921629897062239,0.9911273754768836,0.9931986039355641,0.0016708672153037825,10,0.00069853146771165,0.0006038096632631022,0.0007932532721601978,0.00015282481945840838,10,0.0004658720688698301,0.0004314685755460476,0.0005002755621936125,5.550683590283123e-05,10,0.10582546146730729,0.09965708451533532,0.11199383841927925,0.009952102364652285,10,0.7805430390505017,0.7098621724954404,0.851223905605563,0.11403700270837383,10,0.8169835680721442,0.7401711010769886,0.8937960350672999,0.12392976959244978,10,0.0010328801340995,0.0007961193207487731,0.001269640947450227,0.0003819915463583159,10,0.0007082281606315499,0.0005760824301904086,0.0008403738910726913,0.00021320484247992552,10,0.27235280042489907,0.2150532948811199,0.3296523059686782,0.09244742159172811,10
