q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
1,51,13,0.6388914051854778,0.874634429808792,0.0021282314518486036,0.0017422955533511835,0.41177315498683975,0.5451636970624312,0.5417568611370011,0.0020441996211861464,0.0017178428458208526,0.5175969916981065,first,oracle,0,0,0,4201
2,51,13,0.7077284270710542,0.8974870067479843,0.0014819491405788753,0.0011697221321092367,0.2867295625276799,0.4818093299105957,0.4629654158735654,0.0018631360782783465,0.0014223589357374232,0.4717512024004357,first,oracle,0,0,0,4202
3,51,13,0.7496722409315735,0.9117273563756402,0.0011792048142690366,0.0009069452002586079,0.22815417295213122,0.7301685656116035,0.6949506669118015,0.0012923244024130778,0.0009324462561034752,0.3272201090610373,first,oracle,0,0,0,4203
4,51,13,0.7814287594253377,0.9365123244751308,0.0009809943548810334,0.0007828632843139533,0.18980414004443458,0.6142844497274875,0.5418712061687394,0.0012699529597326412,0.0008203587589820576,0.32155559796763367,first,oracle,0,0,0,4204
5,51,13,0.8087575658404557,0.947303988182184,0.0008631662953036858,0.0006878328577469876,0.16700660465607342,0.5352495605660161,0.5688098179783545,0.0013529372880865388,0.0010045558819028024,0.3425674591718452,first,oracle,0,0,0,4205
6,51,13,0.8273874159952683,0.9522403214633304,0.0007654056316633901,0.0006197304974099337,0.14809173669572745,0.5955942791385829,0.6079177207366835,0.0012744920791812853,0.0009204830887150786,0.3227049155524854,first,oracle,0,0,0,4206
7,51,13,0.8393402045249526,0.9609633821131695,0.0006973747924534847,0.0005611259361139565,0.13492903614756455,0.6428128833192124,0.5864808526042193,0.0012336920511869663,0.0009340249454743846,0.3123742357440212,first,oracle,0,0,0,4207
8,51,13,0.8739878379974216,0.9664690037965906,0.0006287233130260032,0.0005084337915975519,0.12164625327457694,0.4686073420250635,0.507314208714402,0.001361262545862676,0.0010500728506363773,0.3446754374413743,first,oracle,0,0,0,4208
9,51,13,0.8841098286050656,0.9714516844887293,0.0005774765147428995,0.00046715623426469405,0.11173095210107048,0.3346653346653346,0.38914376168438497,0.0016815515549363207,0.001385362033938288,0.42577349941748005,first,oracle,0,0,0,4209
1,51,13,0.6354470114878729,0.8596193089949509,0.002418036741141472,0.001881713609998366,0.3587483469619219,0.7355808748213811,0.8483142889046973,0.0033473362071686254,0.0030020891844056096,0.4153240620666956,first,oracle,0,0,1,4211
