layer,q,oracle_norm_stress,null_a_mean_norm_stress,null_a_std_norm_stress,null_b_mean_norm_stress,null_b_std_norm_stress
first,1,0.3940733130165016,0.6459827310076812,0.006404758002762669,0.5613353087977788,0.0028094827916832054
first,2,0.26786952358527283,0.5179726857221214,0.004301104032159285,0.3873908422024663,0.0018302271605676176
first,3,0.21465888020596216,0.4710571901650955,0.0029452269300508233,0.30429372024294893,0.0026433992166244678
first,4,0.1814121357250493,0.4491049534978126,0.00243013809797013,0.25079932597596266,0.002968207878343542
first,5,0.1598484718702135,0.43789346848692307,0.002473270434017539,0.21653968646869307,0.0033576841429412423
first,6,0.14623527174318077,0.4310096362704022,0.0020152823411384983,0.19081707195436995,0.0033865617936333714
first,7,0.13390355363295947,0.42652250345277143,0.0018558566201880046,0.1717562621209649,0.002478448410088919
first,8,0.12556930247513798,0.42368352310438756,0.0022545730231286875,0.15712628567899464,0.0029425577172795935
first,9,0.1182097067234968,0.42225077346109086,0.0021376634715097806,0.14540580263502922,0.0025428084621340425
middle,1,0.186720722952828,0.8519339124416321,0.005134471705708041,0.5613353087977788,0.0028094827916832054
middle,2,0.13630146940890314,0.8139245449070455,0.003205242586652524,0.3873908422024663,0.0018302271605676176
middle,3,0.11344018390272254,0.8068375209753446,0.002065749005590035,0.30429372024294893,0.0026433992166244678
middle,4,0.10416019683081332,0.8043189630023907,0.00242999815833057,0.25079932597596266,0.002968207878343542
middle,5,0.09809871068817567,0.8030750877634614,0.002618076157295131,0.21653968646869307,0.0033576841429412423
middle,6,0.09341367473641764,0.8035253476320755,0.0026045501465915433,0.19081707195436995,0.0033865617936333714
middle,7,0.09087689841490924,0.8018917758519852,0.002622375339312089,0.1717562621209649,0.002478448410088919
middle,8,0.08803455407848085,0.8013404778793048,0.002975290864466422,0.15712628567899464,0.0029425577172795935
middle,9,0.08587786268970041,0.8016481067267541,0.002333124662698954,0.14540580263502922,0.0025428084621340425
last,1,0.43170160456130935,0.627932994197166,0.006412083946431873,0.5613353087977788,0.0028094827916832054
last,2,0.29287768722709306,0.48795242242204295,0.004135255069656983,0.3873908422024663,0.0018302271605676176
last,3,0.23701714070811641,0.43439408758011555,0.003393759321481923,0.30429372024294893,0.0026433992166244678
last,4,0.2044456179660587,0.4091327051597411,0.0029725502557288114,0.25079932597596266,0.002968207878343542
last,5,0.185080006556125,0.39490301680777945,0.002823462349877805,0.21653968646869307,0.0033576841429412423
last,6,0.16968574589988217,0.38684131310546443,0.0023132230677750374,0.19081707195436995,0.0033865617936333714
last,7,0.16125527577923524,0.3822824638753459,0.0022634257589580035,0.1717562621209649,0.002478448410088919
last,8,0.1520551456452003,0.3784212465519155,0.0023459854030845463,0.15712628567899464,0.0029425577172795935
last,9,0.1469677658133547,0.3766192622172386,0.002031452087689643,0.14540580263502922,0.0025428084621340425
