layer,expert,mean_kl_100,median_kl_100,low_damage_partners_100
first,0,0.0037876757066135952,0.0033596106603564963,55
first,1,0.003601097992164555,0.003207390887661606,56
first,2,0.003989500186506372,0.003565877808854575,55
first,3,0.004301093723983916,0.003875147239445811,54
first,4,0.004352028550676807,0.003930254027764194,54
first,5,0.005346314250126152,0.004873368000031963,36
first,6,0.014339260214616196,0.014116842202391228,0
first,7,0.003317459478988007,0.002911874136206746,59
first,8,0.0038906030405393313,0.003511109595190579,56
first,9,0.0035326388644022592,0.0031360468345709934,58
first,10,0.004315332527117222,0.0038830349413619763,54
first,11,0.0034018432456440657,0.003004957704187194,59
first,12,0.004552325705953238,0.004061857863278953,52
first,13,0.004546553090444613,0.004156894001801235,49
first,14,0.006127032340220682,0.0058373995188394845,9
first,15,0.004894280382233441,0.004491379219675655,45
first,16,0.004017244203321681,0.0036357819178508884,55
first,17,0.006168171705812007,0.005669226893354591,9
first,18,0.004933958599738311,0.004543547560646432,45
first,19,0.005584738238566459,0.0051499977568376185,27
first,20,0.003497096492198999,0.003095112806087277,57
first,21,0.0034001252198905844,0.0029640281472474357,59
first,22,0.004045196427897039,0.00353515599634682,55
first,23,0.003918003601064971,0.0034631949605242055,56
first,24,0.003992107814589654,0.0035122220259230542,55
first,25,0.004902264805970017,0.00455002698326978,44
first,26,0.006181862972058786,0.0057855251719206215,9
first,27,0.004663920526999463,0.004299969692273054,49
first,28,0.003726562894937125,0.003266429936924624,56
first,29,0.00546519446906194,0.004960263516427447,32
first,30,0.004899463581406937,0.004414632088829619,47
first,31,0.003916008282161834,0.0035248756942726066,55
first,32,0.004941347985837684,0.004543368512905886,43
first,33,0.004468770010087392,0.004023191693356897,50
first,34,0.003610715903039602,0.0032479447153488817,58
first,35,0.004033547895784801,0.003670714064280787,55
first,36,0.004325492425867561,0.003926681030335418,54
first,37,0.0049127724912980345,0.00449099013955663,44
first,38,0.0048296111504330655,0.004465889406520924,47
first,39,0.0033435285460591733,0.0030004230564616417,59
first,40,0.004690479470917808,0.004229588203116875,46
first,41,0.009943709539722827,0.009562742014540021,0
first,42,0.004611812344858833,0.004107808608724821,49
first,43,0.003216257112650235,0.002832271749852993,59
first,44,0.004708494079724832,0.004307191177646011,47
first,45,0.005341189836975182,0.004934103236703659,35
first,46,0.005266463783696339,0.004861977970609693,35
first,47,0.005264272484647208,0.004947512200769919,35
first,48,0.004151379470367733,0.003670714064280787,55
first,49,0.004586627637476753,0.0042089181816428066,51
first,50,0.004592782048367834,0.004154748899143648,49
first,51,0.0042460597269795355,0.0038628449805165246,54
first,52,0.0032252983993199505,0.002782722619741031,59
first,53,0.00606276737516847,0.005699120116545213,13
first,54,0.006444903812281543,0.006069075748267271,0
first,55,0.004308065973681761,0.0039188407339588085,55
first,56,0.004366856400056835,0.003973633697871018,54
first,57,0.01123321527710176,0.01044731229986058,0
first,58,0.0038368069460166772,0.0033478986678132402,55
first,59,0.004303060564733825,0.003875147239445811,55
first,60,0.004393824553203491,0.004081050430037519,51
first,61,0.004148426279269053,0.003780724055479903,55
first,62,0.004194982396043281,0.0038023558454823025,54
first,63,0.0032666847048090477,0.0027663375867808516,59
middle,0,0.0026114577604119706,0.002002051893382231,62
middle,1,0.002272325216420832,0.0017188480182827248,62
middle,2,0.0030197145837271328,0.0023143389031026647,60
middle,3,0.0019848804880489125,0.0013587637766670965,62
middle,4,0.0020804954489072685,0.0014045495100520645,62
