layer,pair,kl_10,kl_40,kl_70,kl_100,category
first,"(15, 21)",0.0015667828076066654,0.002170279919649495,0.002361914906323652,0.0035179922810699292,Stable
first,"(36, 53)",0.0018816726218971794,0.003693473818516406,0.0047346063000086504,0.005841649111615705,Stable
first,"(48, 54)",0.0019517156197588594,0.004543043499676484,0.0047370124688981274,0.005850347250320062,Stable
first,"(29, 59)",0.0014919468459996287,0.003316383101122471,0.0037446299153842144,0.004867265982493749,Stable
first,"(10, 27)",0.0029750378612949323,0.003462433176684892,0.004431824251747688,0.004244591840182097,Stable
first,"(25, 34)",0.0013614962872304072,0.0028832406589369983,0.003182964598557587,0.0036704143260351484,Stable
first,"(44, 47)",0.0017221367266103845,0.0030733451676967045,0.0037566063474118844,0.005383301314753284,Stable
first,"(2, 50)",0.0015117618759877011,0.0027587296937869555,0.0031736114444213615,0.0038353788060407393,Stable
first,"(2, 59)",0.0015277031374358128,0.0025802678945438208,0.0027768773028341923,0.0033443045002939952,Stable
first,"(25, 61)",0.0012985877161321659,0.003168026972228303,0.003438531390653741,0.004234119020272908,Stable
first,"(43, 60)",0.0015409590620466165,0.002439838091423457,0.0026275957908404642,0.0028405820259576474,Stable
first,"(55, 61)",0.0011290722608226203,0.002481718940114533,0.002833667919710591,0.0036494480847005187,Stable
first,"(5, 60)",0.0031892688996579075,0.004567788001702858,0.0043490243730426445,0.005083549432632512,Stable
first,"(28, 62)",0.0014593501420776464,0.0023355231461539205,0.0024486366455818737,0.003187654189399467,Stable
first,"(9, 58)",0.0011810928395834476,0.0016509627540943466,0.001883559795776514,0.0023880305815329682,Stable
first,"(6, 34)",0.002976606941811911,0.005819539420371112,0.00904446136210706,0.01321489926571407,Increasing Damage
first,"(48, 49)",0.0018030881069370096,0.002620152628941471,0.003014907688553388,0.003833143825814549,Stable
first,"(6, 43)",0.00297578031327876,0.005574738988904399,0.008918317677641634,0.012515494144780119,Stable
first,"(48, 58)",0.0014206704220223834,0.00206544738320347,0.0025137084715345323,0.003211634125823886,Stable
first,"(29, 54)",0.0017471768807533793,0.004924116014711591,0.005071620533010842,0.006770326615208832,Stable
first,"(21, 50)",0.0017294051005919582,0.0024940023925881065,0.00275535173059902,0.0032431524663066296,Stable
first,"(10, 22)",0.0025428206746783543,0.0026711279786561935,0.003113698233887082,0.00339065377441991,Stable
first,"(10, 31)",0.0022941043038674086,0.0021775631783527627,0.0027986032061502663,0.0034265390491755535,Stable
first,"(51, 59)",0.0015826944616816096,0.002666566535210114,0.002998022558037223,0.003871820877024948,Stable
first,"(13, 51)",0.001469249805799034,0.0027670094807634507,0.00339637948383598,0.004035506459258399,Stable
first,"(3, 28)",0.001606707843521216,0.002327109677482121,0.002620991391486064,0.003211541185194534,Stable
first,"(13, 60)",0.001728547139700545,0.003142307799157053,0.0036295813589615968,0.004156894001801235,Stable
first,"(35, 60)",0.0017037494975721133,0.0027996618837035784,0.003179714489511344,0.0036215744690109917,Stable
first,"(6, 38)",0.004904775111190859,0.0077436058461969,0.010592808716648071,0.014569021901568276,Stable
first,"(10, 17)",0.0031240588158509878,0.0036821756995148312,0.004687339231521994,0.005595177550191302,Stable
first,"(39, 62)",0.0012557345168565251,0.001975989951757523,0.0020967103920168256,0.0027093209304347907,Stable
first,"(2, 31)",0.0012856186262541216,0.0022597569263883696,0.0025723588448577444,0.0030515053469494743,Stable
first,"(12, 63)",0.001626287793809211,0.00239762011442187,0.0027024218681567045,0.002952210261741615,Stable
first,"(3, 5)",0.0031829886739560284,0.004271959536075805,0.004137755925508492,0.004813274475749593,Stable
first,"(32, 41)",0.0031917335968200586,0.005872118079302049,0.006699808775512486,0.010101215782209738,Stable
first,"(51, 54)",0.001869046468952925,0.004788285418395064,0.004833954904257342,0.006150574201439498,Stable
first,"(22, 27)",0.0017464030153761787,0.0038033417307569073,0.004256662952769214,0.0038227419790454733,Stable
first,"(13, 46)",0.003273322955112656,0.00417646812669434,0.004173664809378581,0.0050455949668515715,Stable
first,"(35, 46)",0.0032633522928446554,0.0038674673872739224,0.00415152576515793,0.004520628358539417,Stable
first,"(14, 23)",0.0012379094796899361,0.00404619849641087,0.004771549389160837,0.004951479891659668,Stable
first,"(1, 53)",0.001835006509456786,0.0032708064841535456,0.0040676654835823675,0.004970293800610001,Stable
first,"(28, 34)",0.0014242364673693359,0.0020832041808364755,0.0021702209586360465,0.002394986404256301,Stable
first,"(17, 43)",0.0023220738481899267,0.0035351422203780602,0.003895832447696627,0.004634995588359746,Stable
first,"(28, 43)",0.0012970603750071296,0.0018459113345135976,0.0019038166411422287,0.0021787857540663184,Stable
first,"(36, 56)",0.0018875192307162287,0.0030567335409734235,0.003658385334767749,0.003926681030335418,Stable
first,"(9, 39)",0.0011742150629704953,0.0014744140657778038,0.0017657948089462132,0.0019386529582403576,Stable
first,"(47, 56)",0.0017712944910146765,0.002997102832450388,0.003930754361783288,0.004947512200769919,Stable
first,"(28, 52)",0.001465241492406999,0.0017578884028645562,0.0018725945407788234,0.0020441410401675795,Stable
first,"(6, 24)",0.0030575481311431317,0.0059410351859680455,0.009236140643103912,0.014422896170431231,Increasing Damage
first,"(9, 57)",0.0024358117440661463,0.004865346814026603,0.004519268212773705,0.011741177264022786,Stable
first,"(6, 42)",0.0029522689803139542,0.006433539034753408,0.0097085972292236,0.014795566366096545,Increasing Damage
first,"(29, 44)",0.0014511262364482948,0.0036970109432959627,0.0037129318084724874,0.0052807732886507985,Stable
first,"(42, 63)",0.0011075383388990546,0.002249722918576073,0.0024417844435169044,0.0029924577421722026,Stable
first,"(10, 21)",0.0023079372838164776,0.002034452523555604,0.002467474532954204,0.0028882557199931646,Stable
first,"(31, 53)",0.0017240121638492179,0.0034565394725180614,0.004149306016543486,0.005409814346290436,Stable
first,"(2, 26)",0.0023436970325292957,0.004187929092392391,0.004529738390074808,0.005341714648753232,Stable
first,"(20, 62)",0.0013030261675431743,0.002131495729727765,0.002295963561151227,0.0028431987293775977,Stable
first,"(12, 58)",0.0015853819207088974,0.0024183896018443412,0.002709732900481657,0.0033478986678132402,Stable
first,"(13, 32)",0.0015941506144254828,0.003733060649582289,0.0038415537163212707,0.004701613576173931,Stable
first,"(13, 41)",0.0030882656554322603,0.005547589097785431,0.006338385626138335,0.00983967865662236,Stable
first,"(24, 41)",0.0031221121279932105,0.005160128002478348,0.005817606558962983,0.009004319719508592,Stable
first,"(3, 18)",0.0016537961317828241,0.0036222240305142446,0.004006650912575175,0.004444861581823539,Stable
first,"(16, 37)",0.0030008280055136287,0.003530292022597017,0.003328187227929309,0.004115366041421189,Stable
first,"(43, 54)",0.0017497247103075298,0.00439282714273773,0.004257179687099043,0.005213930539994717,Stable
first,"(32, 63)",0.001421016412053589,0.0032086382053205967,0.0028536985482593116,0.0035091431008905417,Stable
first,"(13, 59)",0.001782594142210848,0.0029486369657449525,0.003299262902364062,0.003982583718938794,Stable
first,"(28, 38)",0.004005181270773487,0.004006758134314282,0.0036351025410729146,0.0038007641286043133,Stable
first,"(6, 19)",0.00311632631476937,0.006083310272133137,0.009651129987773979,0.014843354157567438,Increasing Damage
first,"(10, 16)",0.004229585482462678,0.003295442260973826,0.003034003210453529,0.00354446632209878,Stable
first,"(39, 61)",0.0012181452080691107,0.002127330561255754,0.002368167686031455,0.0027514706762055722,Stable
first,"(12, 44)",0.0020112334291033963,0.002949491845641617,0.0031611267887431157,0.004380136311155192,Stable
first,"(12, 62)",0.0016874967112551402,0.002741655024638509,0.003237396222927401,0.0038624108651764354,Stable
first,"(23, 62)",0.00137909767247409,0.0026030642972402077,0.0025854553548082626,0.0031972930514154625,Stable
first,"(1, 34)",0.0016142177293647511,0.0018895562385146053,0.0020627909828748914,0.0022315993995401665,Stable
first,"(13, 45)",0.001519471660669532,0.0031645639447580526,0.003859311917123708,0.005425991670985671,Stable
first,"(16, 41)",0.004505940417326462,0.006318555439263516,0.006286046475110934,0.008942380178215947,Stable
first,"(1, 52)",0.0015754629943771903,0.0016701062491119275,0.001813364054038264,0.0018862181887717407,Stable
first,"(13, 54)",0.0018101221624171658,0.0042305944825043445,0.004725371294399097,0.005882828558916458,Stable
first,"(9, 11)",0.0013943388201266439,0.0014911139186472033,0.0016437927851322405,0.002032213596521007,Stable
first,"(9, 29)",0.0011063701384917953,0.002991901066167858,0.0030738959895785485,0.004363853559781388,Stable
first,"(28, 42)",0.0012714027600581924,0.0027439843617818715,0.00278497567378583,0.003528792573491275,Stable
first,"(9, 47)",0.0013357548158872549,0.0024051930248243153,0.003191198910556397,0.003946639248699261,Stable
first,"(6, 23)",0.0029435691770687243,0.006174682731284935,0.009455706820913503,0.013901499829594545,Increasing Damage
first,"(42, 44)",0.0014762410257545355,0.002997091150442164,0.003164787476124627,0.004532463588879964,Stable
first,"(6, 32)",0.002989717306773633,0.007016422798090082,0.009791607821467005,0.014725978525179937,Increasing Damage
first,"(19, 60)",0.0019616886048119497,0.0034315733580630955,0.003840644120455341,0.00512869520318947,Stable
first,"(31, 43)",0.0012846581476453347,0.0018325429803294018,0.002020562401565626,0.0024206168455422707,Stable
first,"(54, 63)",0.001823919300935459,0.004360901309896134,0.004289345661512169,0.005158240690772904,Stable
first,"(4, 44)",0.0020790739682209707,0.00292120834340426,0.0031706337010232355,0.004389369366608319,Stable
first,"(1, 38)",0.003959554513662142,0.003911332725373311,0.0035757936701328666,0.003685815561537204,Stable
first,"(13, 40)",0.00199859299903472,0.0029407747470462154,0.00334063512222901,0.004214549027174098,Stable
first,"(43, 53)",0.0016423628425639592,0.0030422910597592825,0.003662895068182201,0.004545193867291466,Stable
first,"(13, 49)",0.0018046126716131832,0.0028872024362563576,0.0034331857827328907,0.004304483883614908,Stable
first,"(5, 8)",0.0033559916602254837,0.004458572276137863,0.003877478718871876,0.00446572427290736,Stable
first,"(49, 51)",0.0016735756650714513,0.002670326194358699,0.0032142604206126355,0.004232855804455178,Stable
first,"(6, 9)",0.0029884908802317797,0.005706516127965981,0.008991755318639537,0.0129952214720033,Increasing Damage
first,"(30, 46)",0.003090692213286879,0.004529524406902588,0.004531846469318186,0.00528869365502288,Stable
first,"(42, 48)",0.0014103265156893208,0.0026752898952622905,0.003065234903514178,0.0038869094033499307,Stable
first,"(11, 51)",0.0013987802465889579,0.002054141460005996,0.002290525374270021,0.002815305768216029,Stable
first,"(23, 34)",0.0014106523952305482,0.0022914823089211747,0.0022138373568764322,0.0027907605202342352,Stable
first,"(4, 39)",0.0016176498030834024,0.0022579137290014008,0.0023497297431288255,0.0029270852739674696,Stable
first,"(1, 15)",0.0016752448740984928,0.0022640577512883326,0.0027258469438960955,0.0036905593708459095,Stable
first,"(13, 17)",0.0024611258086720774,0.004245063959037789,0.004850738720294678,0.0057645273395131764,Stable
first,"(4, 48)",0.0018620094837546296,0.0026920377687410183,0.0029819345552887073,0.0035816002655414013,Stable
first,"(53, 62)",0.0017339126186592647,0.00344011484062203,0.004462884208825945,0.0057186077553883505,Stable
