checkpoint,layer,n_pairs,time_seconds,sec_per_pair,timestamp
checkpoint_100,first,2016,0.0,0.00,2026-08-12T17:22:52.274454
checkpoint_100,middle,2016,13276.3,6.59,2026-08-12T21:04:08.606573
checkpoint_100,last,2016,13269.3,6.58,2026-08-13T00:45:18.033165
checkpoint_10,first,384,2535.9,6.60,2026-08-13T01:27:38.076935
checkpoint_10,middle,384,2540.2,6.62,2026-08-13T02:09:58.360520
checkpoint_10,last,384,2538.8,6.61,2026-08-13T02:52:17.223104
checkpoint_40,first,384,2532.3,6.59,2026-08-13T03:34:45.186411
checkpoint_40,middle,384,2533.8,6.60,2026-08-13T04:16:59.139410
checkpoint_40,last,384,2533.2,6.60,2026-08-13T04:59:12.490676
checkpoint_70,first,384,2534.9,6.60,2026-08-13T05:41:43.349221
checkpoint_70,middle,384,2537.4,6.61,2026-08-13T06:24:00.832244
checkpoint_70,last,384,2536.2,6.60,2026-08-13T07:06:17.118207
