partition,fold,n_test_pairs,rho_A,r_A,rmse_A,mae_A,r2_A,rho_B,r_B,rmse_B,mae_B,r2_B,rho_C,r_C,rmse_C,mae_C,r2_C,delta_rho_BA,delta_rho_CA,delta_rho_CB,prec_at_10_A,rec_at_10_A,prec_at_10_B,rec_at_10_B,prec_at_10_C,rec_at_10_C,prec_at_25_A,rec_at_25_A,prec_at_25_B,rec_at_25_B,prec_at_25_C,rec_at_25_C,prec_at_50_A,rec_at_50_A,prec_at_50_B,rec_at_50_B,prec_at_50_C,rec_at_50_C
0,0,231,0.5190249031328492,0.1698659360408783,0.002152562402190825,0.0011369495186954737,-2.4393270015716553,0.64858934169279,0.6277163028717041,0.0010796479923379637,0.0007343427278101444,0.1347804069519043,0.7901081986230769,0.6801257729530334,0.0008849256856827243,0.0006079234881326556,0.4187331199645996,0.12956443855994082,0.2710832954902277,0.14151885693028687,0.4,0.4,0.4,0.4,0.0,0.0,0.36,0.36,0.36,0.36,0.28,0.28,0.48,0.48,0.56,0.56,0.66,0.66
0,1,210,0.5454289978486225,-0.097774937748909,0.00993628908743285,0.003841319354251027,-0.09997212886810303,0.7630746405004325,0.9903486967086792,0.0016672167157729151,0.0010796179994940758,0.9690316915512085,0.8798654222589463,0.5425675511360168,0.00953912934015087,0.003448513802140951,-0.013796329498291016,0.21764564265180997,0.33443642441032373,0.11679078175851376,0.1,0.1,0.1,0.1,0.6,0.6,0.56,0.56,0.24,0.24,0.44,0.44,0.6,0.6,0.62,0.62,0.58,0.58
0,2,210,0.37311568451503596,0.10273019224405289,0.0024794596874494835,0.0013304573949426413,-2.9914138317108154,0.7052048475346056,0.6800765991210938,0.0010853176161172927,0.0007271305657923222,0.23523789644241333,0.7716373155410077,0.6838685274124146,0.0009494948297076076,0.0006221320945769548,0.41467392444610596,0.3320891630195696,0.3985216310259717,0.06643246800640212,0.2,0.2,0.5,0.5,0.2,0.2,0.44,0.44,0.48,0.48,0.44,0.44,0.46,0.46,0.62,0.62,0.68,0.68
1,0,231,0.4429983060417843,0.1008438915014267,0.0028338598799340815,0.001295643043704331,-11.626041412353516,0.6140102026908624,0.6402252316474915,0.0008381722729118204,0.0006278868531808257,-0.10452890396118164,0.7330854370796966,0.6408745050430298,0.0007329236471839888,0.000496202614158392,0.15544497966766357,0.17101189664907807,0.29008713103791234,0.11907523438883427,0.3,0.3,0.4,0.4,0.5,0.5,0.52,0.52,0.48,0.48,0.56,0.56,0.62,0.62,0.52,0.52,0.7,0.7
1,1,210,0.5484847405027001,0.27963462471961975,0.0023761607532687854,0.0014022176619619131,-2.929889440536499,0.8292089551755303,0.7855483293533325,0.0009596590370761507,0.000712251232471317,0.3589932322502136,0.8686262882290723,0.7813685536384583,0.0007947241941965852,0.0005437706131488085,0.5603960752487183,0.28072421467283015,0.32014154772637216,0.039417333053542,0.2,0.2,0.2,0.2,0.3,0.3,0.32,0.32,0.4,0.4,0.36,0.36,0.56,0.56,0.64,0.64,0.66,0.66
1,2,210,0.5229584519225753,-0.07418259978294373,0.010642265649609265,0.004173472989350557,-0.1391357183456421,0.663786350840479,0.9876043200492859,0.001718886381065269,0.001130468095652759,0.9702832102775574,0.7887802896601773,0.47573140263557434,0.010387237482770918,0.004055703524500132,-0.08519399166107178,0.1408278989179037,0.26582183773760204,0.12499393881969834,0.1,0.1,0.3,0.3,0.1,0.1,0.4,0.4,0.52,0.52,0.68,0.68,0.66,0.66,0.56,0.56,0.94,0.94
2,0,231,0.5872626230364922,-0.10226798057556152,0.009915709546421816,0.003603643039241433,-0.08079397678375244,0.7746733775969159,0.9900076389312744,0.0013798772229898224,0.0007390372338704765,0.9790696501731873,0.915681680102815,0.596703052520752,0.009472313870431563,0.003262620884925127,0.013703584671020508,0.18741075456042366,0.3284190570663228,0.14100830250589913,0.2,0.2,0.5,0.5,0.2,0.2,0.48,0.48,0.8,0.8,0.44,0.44,0.52,0.52,0.72,0.72,0.78,0.78
2,1,210,0.5340432079768572,0.3622533082962036,0.00160760144330858,0.0010967463022097945,-0.6908233165740967,0.8660014966325766,0.8331097364425659,0.000747199110248726,0.00047705238102935255,0.6347298622131348,0.8691332714456648,0.8502779006958008,0.000660940508719458,0.00046081343316473067,0.7141973972320557,0.3319582886557194,0.33509006346880754,0.0031317748130881284,0.2,0.2,0.5,0.5,0.0,0.0,0.36,0.36,0.64,0.64,0.12,0.12,0.54,0.54,0.82,0.82,0.58,0.58
2,2,210,0.4284474955973755,0.11460572481155396,0.002627302643105634,0.0015345655847340822,-2.2492575645446777,0.7252960060642775,0.7315390706062317,0.0011332023778308246,0.0007479405030608177,0.39552420377731323,0.7900899021551192,0.7003681063652039,0.001057574939153621,0.0006795218796469271,0.4735146760940552,0.29684851046690197,0.3616424065577437,0.06479389609084174,0.1,0.1,0.2,0.2,0.2,0.2,0.32,0.32,0.32,0.32,0.4,0.4,0.52,0.52,0.52,0.52,0.7,0.7
3,0,231,0.6123444771120934,0.14958347380161285,0.0035378232343332965,0.0016128142597153783,-7.427111625671387,0.7428026246616952,0.7824665904045105,0.0009214647063188405,0.000682092213537544,0.4283056855201721,0.8411348344876609,0.6721985340118408,0.0011191265502316344,0.00055747723672539,0.15673339366912842,0.13045814754960183,0.22879035737556752,0.09833220982596569,0.2,0.2,0.2,0.2,0.2,0.2,0.12,0.12,0.4,0.4,0.44,0.44,0.52,0.52,0.68,0.68,0.74,0.74
