K,partition,fold,category,count,mean_kl,median_kl,min_kl,max_kl
10,0,0,Geometry_only,10,0.0017716853,0.0014014377,0.0005822562,0.0044631683
10,0,0,CARE_only,10,0.0013443064,0.0013195412,0.0011441868,0.0016933314
10,0,0,Neither,70,0.0024157704,0.0023918557,0.0006731064,0.005506672
25,0,0,Geometry_only,22,0.0019656087,0.0019279937,0.0005822562,0.004635269
25,0,0,CARE_only,22,0.001429597,0.0014259494,0.0010107674,0.001768773
25,0,0,Both,3,0.0016253035,0.0016140597,0.0013181936,0.0019436574
25,0,0,Neither,60,0.0025601513,0.0024523295,0.0006731064,0.005506672
10,0,1,Geometry_only,10,0.0016817956,0.0015067456,0.0009472614,0.0024068279
10,0,1,CARE_only,10,0.0011479623,0.000927385,0.00069855945,0.0017635688
10,0,1,Neither,66,0.0045255697,0.0019069491,0.0008091793,0.038514633
25,0,1,Geometry_only,20,0.0017802861,0.0015067456,0.0009472614,0.0026867918
25,0,1,CARE_only,20,0.0013186636,0.0013670342,0.00069855945,0.0018667947
25,0,1,Both,5,0.0016320894,0.0011881427,0.0010025869,0.0024546308
25,0,1,Neither,52,0.0052294615,0.0019344743,0.0008091793,0.038514633
10,0,2,Geometry_only,6,0.0011513123,0.00096662197,0.0008664539,0.0019928946
10,0,2,CARE_only,6,0.0013612108,0.0014289441,0.0008891254,0.0015676983
10,0,2,Both,4,0.0012952514,0.0013235229,0.0009475225,0.0015864376
10,0,2,Neither,72,0.002742606,0.0025660186,0.00088855356,0.0059300764
25,0,2,Geometry_only,15,0.001968113,0.0016682873,0.00088855356,0.003823685
25,0,2,CARE_only,15,0.0014855054,0.0014420575,0.0010916089,0.0021165996
25,0,2,Both,10,0.001365508,0.001113242,0.0008664539,0.0024991161
25,0,2,Neither,59,0.0029136606,0.0026795862,0.001396219,0.0059300764
10,1,0,Geometry_only,7,0.0022554726,0.002371808,0.0008497751,0.0027863143
10,1,0,CARE_only,7,0.0012880163,0.0013181936,0.0008891254,0.0017007189
10,1,0,Both,3,0.0009810379,0.0009892908,0.0009475225,0.0010063002
10,1,0,Neither,74,0.002915928,0.0028005154,0.0015250153,0.005153591
25,1,0,Geometry_only,16,0.0022575129,0.0023739382,0.0010807072,0.0028978153
25,1,0,CARE_only,16,0.0015642969,0.0016278299,0.0009003219,0.0018819412
25,1,0,Both,9,0.0010092607,0.0009475225,0.0008497751,0.0013181936
25,1,0,Neither,68,0.0029846411,0.0030323553,0.0015250153,0.005153591
10,1,1,Geometry_only,10,0.0013577485,0.0013749842,0.0008090798,0.0022206851
10,1,1,CARE_only,10,0.0011860059,0.0012175424,0.00076460076,0.0016572858
10,1,1,Neither,69,0.0021581275,0.0019164081,0.00071406516,0.0052525993
25,1,1,Geometry_only,19,0.0013650786,0.001306934,0.00071406516,0.0022206851
25,1,1,CARE_only,19,0.0013230167,0.00133395,0.00076460076,0.0017141685
25,1,1,Both,6,0.0011034402,0.0010532053,0.00079701777,0.0015733957
25,1,1,Neither,64,0.002245716,0.002034199,0.0009878675,0.0052525993
10,1,2,Geometry_only,10,0.001845945,0.0014142571,0.00057860883,0.0032442634
10,1,2,CARE_only,10,0.0010544655,0.0009818085,0.0007229192,0.0015019787
10,1,2,Neither,68,0.004575667,0.0023949577,0.00068687357,0.03855131
25,1,2,Geometry_only,14,0.0024448708,0.003075169,0.0005933229,0.0048545324
25,1,2,CARE_only,14,0.0011375182,0.0011368814,0.00091559417,0.0015019787
25,1,2,Both,11,0.0009977231,0.0009595983,0.00057860883,0.0014305911
25,1,2,Neither,57,0.005201224,0.0025479996,0.0014121976,0.03855131
10,2,0,Geometry_only,7,0.0011696778,0.0009393052,0.0008462749,0.002699812
10,2,0,CARE_only,7,0.0014238057,0.0015188848,0.0010784568,0.0016657888
10,2,0,Both,3,0.0009364707,0.0008771131,0.0007743893,0.0011579096
10,2,0,Neither,76,0.004093017,0.002596005,0.00068687357,0.038105015
25,2,0,Geometry_only,14,0.0014331827,0.0009338057,0.00068687357,0.002969596
25,2,0,CARE_only,14,0.0014932661,0.0015309431,0.0010696778,0.0017486934
25,2,0,Both,11,0.0009411709,0.0009393052,0.00069855945,0.0011579096
25,2,0,Neither,68,0.0044458625,0.0026512318,0.0009273886,0.038105015
10,2,1,Geometry_only,9,0.0009491353,0.00079701777,0.0005822562,0.0020880585
10,2,1,CARE_only,9,0.0014801912,0.0014510741,0.0012673324,0.0017654808
10,2,1,Both,1,0.0009509227,0.0009509227,0.0009509227,0.0009509227
10,2,1,Neither,71,0.0023345014,0.0021895508,0.00068082503,0.005559951
25,2,1,Geometry_only,19,0.0010465215,0.0008744921,0.0005822562,0.0028562716
25,2,1,CARE_only,19,0.0014262017,0.0014510741,0.0010107674,0.0017654808
25,2,1,Both,6,0.001312398,0.0013278885,0.0009509227,0.0017356806
25,2,1,Neither,62,0.0024955526,0.0023017204,0.00074028136,0.005559951
10,2,2,Geometry_only,9,0.0020415569,0.0019904585,0.00080154795,0.0031210978
10,2,2,CARE_only,9,0.001733062,0.0015897414,0.0010916089,0.002453029
10,2,2,Both,1,0.0010900979,0.0010900979,0.0010900979,0.0010900979
10,2,2,Neither,67,0.0027501255,0.0024183819,0.0010522595,0.0063673365
25,2,2,Geometry_only,17,0.0021556306,0.0021158874,0.00080154795,0.003991651
25,2,2,CARE_only,17,0.0016650135,0.0015763259,0.0012248817,0.002453029
25,2,2,Both,8,0.001666741,0.0016373228,0.0010900979,0.0024679422
25,2,2,Neither,56,0.0029485386,0.0026479722,0.0010522595,0.0063673365
10,3,0,Geometry_only,9,0.0014611466,0.0012549756,0.00092899025,0.003061313
10,3,0,CARE_only,9,0.0012024174,0.0013406636,0.00068082503,0.0014335635
10,3,0,Both,1,0.0014430342,0.0014430342,0.0014430342,0.0014430342
