K,Precision_Geometry,Precision_CARE,Std_Geometry,Std_CARE,Delta_Precision,Mean_Oracle_KL_Geometry,Mean_Oracle_KL_CARE,Mean_Oracle_KL_True
1,0.3333333333333333,0.0,0.47140452079103173,0.0,-0.3333333333333333,0.0011802062,0.0012943925,0.0007049773
2,0.26666666666666666,0.03333333333333333,0.3091206165165235,0.12472191289246472,-0.23333333333333334,0.0011830033,0.0012155509,0.0007339216
3,0.31111111111111117,0.08888888888888888,0.22662308949301266,0.14740554623801777,-0.2222222222222223,0.001206376,0.0012413885,0.00075266225
4,0.2833333333333333,0.15,0.15456030825826175,0.21984843263788198,-0.13333333333333333,0.0012143557,0.001233483,0.0007705784
5,0.28,0.14666666666666664,0.1758787461103056,0.18571184369578828,-0.1333333333333334,0.0012717842,0.001277294,0.00078629784
6,0.3,0.14444444444444443,0.16329931618554522,0.15947444549341472,-0.15555555555555556,0.00137176,0.0012698912,0.0008008093
7,0.30476190476190473,0.1714285714285714,0.15532863266952462,0.18220120447341898,-0.13333333333333333,0.0014265444,0.001286574,0.0008166663
8,0.35,0.20833333333333334,0.13070322617798436,0.18633899812498245,-0.14166666666666664,0.0014470565,0.001306372,0.0008313144
9,0.37037037037037035,0.21481481481481485,0.14998856838012287,0.1835483213831684,-0.1555555555555555,0.0014564674,0.0012998711,0.00084596477
10,0.37333333333333335,0.22666666666666668,0.1436043948569201,0.16519348924485155,-0.14666666666666667,0.0014758079,0.0013002658,0.0008605302
11,0.3696969696969696,0.24242424242424238,0.15380093988423663,0.16486630919679324,-0.1272727272727272,0.001511152,0.0013221424,0.0008751601
12,0.3722222222222222,0.24999999999999997,0.14229164972072997,0.1551582227085438,-0.1222222222222222,0.0015067833,0.0013271793,0.00088891113
13,0.3846153846153847,0.25641025641025644,0.14862950508912243,0.1529890655402697,-0.12820512820512825,0.0015113861,0.0013290882,0.0009020526
14,0.3952380952380953,0.2761904761904762,0.15620209016054026,0.15620209016054026,-0.11904761904761907,0.0015079823,0.0013335082,0.000914487
15,0.4088888888888889,0.29333333333333333,0.15176329847967887,0.16293602470954097,-0.11555555555555558,0.0015144628,0.001336127,0.00092674413
16,0.43333333333333335,0.3,0.16687486995417322,0.1567907310185565,-0.13333333333333336,0.0015051608,0.001341445,0.0009386335
17,0.44313725490196076,0.3333333333333333,0.17030628039692913,0.17003516383277492,-0.10980392156862745,0.0015148517,0.0013466232,0.00095019524
18,0.44814814814814813,0.33333333333333337,0.1702898360381133,0.15581988124416765,-0.11481481481481476,0.0015067832,0.0013564152,0.0009615432
19,0.4666666666666667,0.3333333333333333,0.1651733655570501,0.15213672553458807,-0.13333333333333336,0.0015228053,0.0013682914,0.0009734615
20,0.47333333333333333,0.3366666666666667,0.17594190960528863,0.14996295838935988,-0.1366666666666666,0.0015164475,0.0013684292,0.0009847713
21,0.4793650793650793,0.3492063492063492,0.1653843336842045,0.15519881348038497,-0.13015873015873014,0.0015165317,0.0013743964,0.0009963698
22,0.4878787878787879,0.36060606060606065,0.16882894881435295,0.15699192541804385,-0.12727272727272726,0.0015325062,0.0013760536,0.0010078159
23,0.4869565217391304,0.3652173913043477,0.16965809422216693,0.15457729421418415,-0.12173913043478268,0.0015386932,0.0013813062,0.0010189943
24,0.49166666666666664,0.3916666666666666,0.16818750559134002,0.15869840952317443,-0.10000000000000003,0.0015425013,0.0013776593,0.0010298156
25,0.5013333333333334,0.41333333333333333,0.16451409936199662,0.1669597423199843,-0.08800000000000008,0.0015536507,0.0013808272,0.0010402446
26,0.5102564102564103,0.423076923076923,0.1455904570931117,0.17653245618521543,-0.08717948717948731,0.0015551412,0.0013856725,0.00105062
27,0.5234567901234568,0.4444444444444444,0.1511224073886356,0.16396995274947151,-0.07901234567901239,0.0015632329,0.0013867097,0.0010608124
28,0.5214285714285715,0.46190476190476193,0.14451419909993826,0.17126314769861375,-0.059523809523809534,0.0015747359,0.0013889092,0.0010706498
29,0.5310344827586206,0.48735632183908045,0.1499372308884628,0.15669327069381123,-0.04367816091954019,0.0015764043,0.0013873933,0.0010801536
30,0.5311111111111111,0.511111111111111,0.15466411236715835,0.1561891856960496,-0.02000000000000013,0.0015942496,0.0013876284,0.0010896611
31,0.5419354838709677,0.5161290322580645,0.15321731725210214,0.15670913292246605,-0.02580645161290318,0.0015946198,0.001393432,0.0010989736
32,0.5395833333333333,0.5291666666666667,0.15201196955795584,0.14589284500009664,-0.01041666666666663,0.0015949602,0.0013972886,0.0011081455
33,0.5515151515151515,0.5474747474747476,0.1526021613577475,0.1423346662934023,-0.004040404040403955,0.0016030788,0.0013996322,0.0011172259
34,0.5588235294117647,0.5588235294117646,0.14043925160368614,0.1499711621644937,-1.1102230246251565e-16,0.0016069915,0.0014005594,0.0011262217
35,0.5619047619047619,0.5771428571428571,0.1406173624784133,0.14501231474799453,0.015238095238095162,0.0016227391,0.0014033741,0.0011351169
36,0.5703703703703703,0.5833333333333334,0.13374422285383547,0.14451565196390126,0.012962962962963065,0.0016222271,0.0014075856,0.001143899
37,0.5675675675675674,0.5981981981981982,0.12942908105274212,0.14194264786472888,0.030630630630630762,0.0016563005,0.0014077543,0.0011525326
38,0.5771929824561403,0.6070175438596492,0.13051028009401608,0.14137782188004056,0.029824561403508976,0.0016513221,0.0014092643,0.001161296
39,0.5897435897435898,0.6102564102564104,0.12939617687367908,0.1367093950299638,0.020512820512820662,0.0016575608,0.0014123532,0.0011700983
40,0.595,0.6183333333333334,0.12423096769056148,0.12892719737209143,0.023333333333333428,0.0016616948,0.0014141214,0.0011787979
41,0.6,0.6276422764227643,0.1308311719667736,0.12226517851777212,0.02764227642276429,0.001665977,0.0014229171,0.0011873909
