partition,fold,pair,rank_b,rank_c,rank_diff,abs_rank_diff,oracle_kl,spearman_rho_fold
0,0,"{3, 6}",135,97,-38,38,0.0019383806502446532,0.772289180085282
0,0,"{8, 3}",2,28,26,26,0.0005822561797685921,0.772289180085282
0,0,"{11, 3}",133,85,-48,48,0.001875939080491662,0.772289180085282
0,0,"{3, 15}",174,172,-2,2,0.0027534854598343372,0.772289180085282
0,0,"{17, 3}",72,10,-62,62,0.0016256178496405482,0.772289180085282
0,0,"{19, 3}",66,52,-14,14,0.001078006811439991,0.772289180085282
0,0,"{3, 20}",105,29,-76,76,0.0014347771648317575,0.772289180085282
0,0,"{26, 3}",225,217,-8,8,0.0043193623423576355,0.772289180085282
0,0,"{3, 28}",70,11,-59,59,0.0017654808470979333,0.772289180085282
0,0,"{32, 3}",49,50,1,1,0.0012726433342322707,0.772289180085282
0,0,"{33, 3}",110,71,-39,39,0.001817135838791728,0.772289180085282
0,0,"{34, 3}",99,17,-82,82,0.0015380734112113714,0.772289180085282
0,0,"{3, 36}",40,8,-32,32,0.0011441868264228106,0.772289180085282
0,0,"{3, 39}",41,27,-14,14,0.0006997589953243732,0.772289180085282
0,0,"{3, 44}",149,131,-18,18,0.0025092686992138624,0.772289180085282
0,0,"{3, 46}",11,26,15,15,0.0007970177684910595,0.772289180085282
0,0,"{48, 3}",183,154,-29,29,0.002757687121629715,0.772289180085282
0,0,"{50, 3}",65,3,-62,62,0.0012235806789249182,0.772289180085282
0,0,"{3, 52}",188,145,-43,43,0.002740289317443967,0.772289180085282
0,0,"{3, 53}",58,61,3,3,0.0015617855824530125,0.772289180085282
0,0,"{3, 60}",14,84,70,70,0.000681936158798635,0.772289180085282
0,0,"{8, 6}",128,83,-45,45,0.0018834196962416172,0.772289180085282
0,0,"{11, 6}",0,220,220,220,0.003061312949284911,0.772289180085282
0,0,"{6, 15}",115,180,65,65,0.00379932695068419,0.772289180085282
0,0,"{17, 6}",185,166,-19,19,0.0027670084964483976,0.772289180085282
0,0,"{19, 6}",56,30,-26,26,0.0023811778519302607,0.772289180085282
0,0,"{20, 6}",32,126,94,94,0.002632235176861286,0.772289180085282
0,0,"{26, 6}",147,149,2,2,0.005295742303133011,0.772289180085282
0,0,"{28, 6}",205,207,2,2,0.0028690125327557325,0.772289180085282
0,0,"{32, 6}",162,125,-37,37,0.0024530289229005575,0.772289180085282
0,0,"{33, 6}",62,113,51,51,0.0030188329983502626,0.772289180085282
0,0,"{34, 6}",30,81,51,51,0.0026645692996680737,0.772289180085282
0,0,"{36, 6}",141,135,-6,6,0.0023287837393581867,0.772289180085282
0,0,"{6, 39}",82,33,-49,49,0.0020630108192563057,0.772289180085282
0,0,"{44, 6}",118,90,-28,28,0.0037218250799924135,0.772289180085282
0,0,"{46, 6}",123,78,-45,45,0.0020765080116689205,0.772289180085282
0,0,"{48, 6}",97,98,1,1,0.0038912976160645485,0.772289180085282
0,0,"{50, 6}",61,86,25,25,0.0023783985525369644,0.772289180085282
0,0,"{52, 6}",29,103,74,74,0.003761744825169444,0.772289180085282
0,0,"{53, 6}",184,161,-23,23,0.002684321254491806,0.772289180085282
0,0,"{60, 6}",114,226,112,112,0.0018853493966162205,0.772289180085282
0,0,"{8, 11}",125,56,-69,69,0.0018118064617738128,0.772289180085282
0,0,"{8, 15}",169,164,-5,5,0.0026649257633835077,0.772289180085282
0,0,"{8, 17}",76,37,-39,39,0.0015611867420375347,0.772289180085282
0,0,"{8, 19}",52,23,-29,29,0.0010107674170285463,0.772289180085282
0,0,"{8, 20}",88,13,-75,75,0.00138119887560606,0.772289180085282
0,0,"{8, 26}",224,215,-9,9,0.004223237279802561,0.772289180085282
0,0,"{8, 28}",87,32,-55,55,0.0016707697650417686,0.772289180085282
0,0,"{8, 32}",46,0,-46,46,0.0012172157876193523,0.772289180085282
0,0,"{8, 33}",106,89,-17,17,0.0017550168558955193,0.772289180085282
0,0,"{8, 34}",83,12,-71,71,0.0014473083429038525,0.772289180085282
0,0,"{8, 36}",35,47,12,12,0.0010945560643449426,0.772289180085282
0,0,"{8, 39}",25,48,23,23,0.0006731064058840275,0.772289180085282
0,0,"{8, 44}",151,137,-14,14,0.002451630076393485,0.772289180085282
0,0,"{8, 46}",3,49,46,46,0.000740701740141958,0.772289180085282
0,0,"{8, 48}",180,151,-29,29,0.0026920021045953035,0.772289180085282
0,0,"{8, 50}",48,7,-41,41,0.0011482950067147613,0.772289180085282
0,0,"{8, 52}",186,140,-46,46,0.002611312083899975,0.772289180085282
0,0,"{8, 53}",63,67,4,4,0.0014591030776500702,0.772289180085282
0,0,"{8, 60}",6,69,63,63,0.0006300604436546564,0.772289180085282
0,0,"{11, 15}",127,170,43,43,0.00386776402592659,0.772289180085282
0,0,"{17, 11}",179,158,-21,21,0.0027636538725346327,0.772289180085282
0,0,"{19, 11}",51,65,14,14,0.002311530290171504,0.772289180085282
0,0,"{11, 20}",24,99,75,75,0.0025991457514464855,0.772289180085282
0,0,"{26, 11}",155,155,0,0,0.005506671965122223,0.772289180085282
0,0,"{11, 28}",204,193,-11,11,0.002922976855188608,0.772289180085282
