checkpoint_id,training_step,tokens_B,pct,layer,n_experts,num_evaluated_pairs,oracle_csv_path,oracle_npy_path,routing_stats_path,specialization_stats_path,mds_embedding_path,artifact_hash_csv
checkpoint_10,120000,503,9.8,first,64,384,results/exp3c/checkpoint_10/first/oracle_distance.csv,results/exp3c/checkpoint_10/first/oracle_distance.npy,MISSING,MISSING,MISSING,23ad593c29504948264dbfef8b3c3005d24921dc66a483a41e2817ee089ae519
checkpoint_10,120000,503,9.8,middle,64,384,results/exp3c/checkpoint_10/middle/oracle_distance.csv,results/exp3c/checkpoint_10/middle/oracle_distance.npy,MISSING,MISSING,MISSING,fd058a8c2fcb10a423c43f4e7d4945e3aae30b7189644dcea67be55b47386608
checkpoint_10,120000,503,9.8,last,64,384,results/exp3c/checkpoint_10/last/oracle_distance.csv,results/exp3c/checkpoint_10/last/oracle_distance.npy,MISSING,MISSING,MISSING,0389308607ce825438075b9b8a090007ec4e69709ffe55b21d0eeb70e9ac5800
checkpoint_40,490000,2055,40.2,first,64,384,results/exp3c/checkpoint_40/first/oracle_distance.csv,results/exp3c/checkpoint_40/first/oracle_distance.npy,MISSING,MISSING,MISSING,7ad733300f86c8408963d1dca8383c9fba8c8ff0b280d0e2395cbe5e8b6a5550
checkpoint_40,490000,2055,40.2,middle,64,384,results/exp3c/checkpoint_40/middle/oracle_distance.csv,results/exp3c/checkpoint_40/middle/oracle_distance.npy,MISSING,MISSING,MISSING,58a08a613e9e95332936514909b95083b3587ed4386e4ff8274ea8b13a674b4e
checkpoint_40,490000,2055,40.2,last,64,384,results/exp3c/checkpoint_40/last/oracle_distance.csv,results/exp3c/checkpoint_40/last/oracle_distance.npy,MISSING,MISSING,MISSING,00e122e0b465db0e8ac79b3171952e5aa4dc1d22628179b36a5fdac6d2767c8e
checkpoint_70,795000,3334,65.2,first,64,384,results/exp3c/checkpoint_70/first/oracle_distance.csv,results/exp3c/checkpoint_70/first/oracle_distance.npy,MISSING,MISSING,MISSING,ccf79630e0e06e42e53366c019d149831bd88a81a12d5dc513bf2d98b0d6b44c
checkpoint_70,795000,3334,65.2,middle,64,384,results/exp3c/checkpoint_70/middle/oracle_distance.csv,results/exp3c/checkpoint_70/middle/oracle_distance.npy,MISSING,MISSING,MISSING,48cd122fde32e41e9651effedf560a0df2e500b11e9e377946b20a0e6c653eee
checkpoint_70,795000,3334,65.2,last,64,384,results/exp3c/checkpoint_70/last/oracle_distance.csv,results/exp3c/checkpoint_70/last/oracle_distance.npy,MISSING,MISSING,MISSING,173c64b25c9e95c8d40e118d6b155ab52910c9692ba32741a422c345c935fd12
checkpoint_100,1220000,5138,100.0,first,64,2016,results/exp3c/checkpoint_100/first/oracle_distance.csv,results/exp3c/checkpoint_100/first/oracle_distance.npy,MISSING,MISSING,MISSING,4f3bd7ec894945fa1bb4a7c0b849e31bd3bc53c783ee0deae3e883c77ca1cadf
checkpoint_100,1220000,5138,100.0,middle,64,2016,results/exp3c/checkpoint_100/middle/oracle_distance.csv,results/exp3c/checkpoint_100/middle/oracle_distance.npy,MISSING,MISSING,MISSING,8a1d41593f266a3e7373a90e1761066b2453d41605feaf450c697d05a6929b0e
checkpoint_100,1220000,5138,100.0,last,64,2016,results/exp3c/checkpoint_100/last/oracle_distance.csv,results/exp3c/checkpoint_100/last/oracle_distance.npy,MISSING,MISSING,MISSING,d99521a015c341eafca608af1d4f6dec26245320dab03f74da631f72b776e5bf
