expert_idx,neuron_idx,stratum,T_K,base_acc,int_acc,delta_acc,delta_p_correct,delta_margin
1,102,Q1,3.25004912156146e-05,0.446,0.446,0.0,-0.0001860523229261,-2.7385056557249765e-05
3,151,Q1,2.8957711037946865e-05,0.446,0.444,0.002,0.0006007898416601,0.0006300629940114
3,737,Q1,2.3303822672460228e-05,0.446,0.444,0.002,-0.0002645848728925,-0.0002335531451017
59,570,Q1,7.92955052020261e-06,0.446,0.444,0.002,-0.0002471685648042,-0.0002548668623048
33,128,Q1,6.278530236158986e-06,0.446,0.446,0.0,-7.720624154261557e-05,-0.0003199016327207
58,691,Q1,1.3035348274570424e-05,0.446,0.446,0.0,0.0003245858103037,0.0004525307565927
58,791,Q1,2.1745376216131262e-05,0.446,0.444,0.002,0.0001000422397628,2.742184791713897e-05
60,724,Q1,1.4406150512513705e-05,0.446,0.442,0.004,-5.687526255682141e-05,-0.000253349695502
60,449,Q1,9.604207662050612e-06,0.446,0.448,-0.0020000000000000018,0.0006549907675589273,0.001283495103439239
23,261,Q1,2.7157242584507912e-05,0.446,0.444,0.0020000000000000018,0.0008913544103452131,0.0023615473195859465
45,498,Q2,5.324364610714838e-05,0.446,0.45,-0.0040000000000000036,-0.00020391337807634802,-0.00024562339718796344
60,102,Q2,4.423253994900733e-05,0.446,0.444,0.0020000000000000018,-3.057867274947057e-05,-0.000552827000481565
23,690,Q2,4.164822530583479e-05,0.446,0.446,0.0,-7.296801274242481e-05,7.21456938463233e-05
3,312,Q2,3.526645014062524e-05,0.446,0.442,0.0040000000000000036,-3.708771430049884e-05,0.0001327894572159538
31,705,Q2,3.440389991737902e-05,0.446,0.448,-0.0020000000000000018,-0.0006999719739733679,-0.00165268659599406
38,932,Q2,3.794925578404218e-05,0.446,0.448,-0.0020000000000000018,-0.0006569702999040805,-0.0017997013108179138
53,474,Q2,4.419387551024556e-05,0.446,0.442,0.0040000000000000036,-9.879945033480775e-05,-0.00016062848084857917
46,378,Q2,3.883829049300402e-05,0.446,0.448,-0.0020000000000000018,-0.00012221815911656053,-0.00042048552361848013
27,1018,Q2,3.606458267313428e-05,0.446,0.45,-0.0040000000000000036,-0.00036951431409942836,-0.0011065899409495594
21,79,Q2,4.8671532567823306e-05,0.446,0.448,-0.0020000000000000018,-0.0006156557868643997,-0.0016172412704154315
37,851,Q3,7.284535240614787e-05,0.446,0.448,-0.0020000000000000018,0.0002936347779750603,0.00032296538920399687
17,940,Q3,6.383145955624059e-05,0.446,0.442,0.0040000000000000036,0.00023293065617874253,0.0005152112800915348
41,317,Q3,6.144933286122978e-05,0.446,0.446,0.0,4.911257927503465e-05,-8.601770694167954e-05
54,701,Q3,5.556195173994638e-05,0.446,0.446,0.0,-0.0005064121429723123,-0.0009117189590733682
54,617,Q3,5.4855572670931e-05,0.446,0.446,0.0,-5.8319033123588326e-05,-0.0005764912972226754
4,892,Q3,5.799352584290318e-05,0.446,0.45,-0.0040000000000000036,-0.0007042592808547687,-0.0009631485387626565
1,321,Q3,6.378656689776108e-05,0.446,0.444,0.0020000000000000018,2.1011768484624493e-05,-0.00011984610686249786
6,263,Q3,5.882295226911083e-05,0.446,0.446,0.0,0.00010227351910635507,-3.9472465447942806e-05
61,1007,Q3,5.6307046179426834e-05,0.446,0.446,0.0,-3.0308400400858027e-05,-0.0005283544409357965
25,706,Q3,6.800216942792758e-05,0.446,0.444,0.0020000000000000018,-0.0004004682829200079,-0.00044587981007680744
14,961,Q4,0.0001002430144581,0.446,0.446,0.0,-0.0005393945675987166,-0.0007275328737396253
42,219,Q4,8.600836736150086e-05,0.446,0.446,0.0,-0.00012770248022569985,0.00010894506606563825
36,511,Q4,8.273420098703355e-05,0.446,0.444,0.0020000000000000018,-0.0004277554693462582,-0.0010095986666920076
12,255,Q4,7.563843973912299e-05,0.446,0.446,0.0,-1.984428211110334e-05,-0.000399907458266166
44,874,Q4,7.477412145817652e-05,0.446,0.44,0.006000000000000005,0.000612250165928363,0.0015494027900585933
36,895,Q4,7.853292481740937e-05,0.446,0.442,0.0040000000000000036,-0.00010260663468308895,-0.0005007276936239563
25,181,Q4,8.595120016252622e-05,0.446,0.446,0.0,-0.00015883784560172254,-0.0008892152216812971
47,623,Q4,7.957121124491096e-05,0.446,0.448,-0.0020000000000000018,-0.00041035923874005453,-0.001119065915700046
45,695,Q4,7.652295607840642e-05,0.446,0.448,-0.0020000000000000018,0.0005501353437302736,0.001008016317546212
17,979,Q4,9.22350081964396e-05,0.446,0.446,0.0,0.0006139965605998499,0.0012626575780177451
35,62,Q5,0.0003344710858073,0.446,0.446,0.0,-0.0001303942497734023,-0.00019824001154938875
16,856,Q5,0.0001326717174379,0.446,0.444,0.0020000000000000018,-0.0003927828644145759,-0.0010358423565257902
49,504,Q5,0.0001225639716722,0.446,0.438,0.008000000000000007,-2.8502346688386027e-07,-0.00022925376297644462
14,421,Q5,0.0001055126631399,0.446,0.444,0.0020000000000000018,-0.0003734645376507473,-0.0007636006007496754
55,899,Q5,0.0001038355912896,0.446,0.444,0.0020000000000000018,-0.00035186062724007483,-0.0009366050210655869
63,109,Q5,0.0001117446372518,0.446,0.444,0.0020000000000000018,-0.0004924360623381197,-0.0010719035973570518
14,563,Q5,0.0001324778422713,0.446,0.446,0.0,-0.0002914230776868698,-0.0010106878233991645
32,612,Q5,0.0001138599036494,0.446,0.448,-0.0020000000000000018,0.00019850675189625466,0.00017388991439475088
37,792,Q5,0.0001072318991646,0.446,0.446,0.0,0.00020563249109001314,0.00019037441728324278
49,430,Q5,0.0001612177438801,0.446,0.446,0.0,-8.430506018247685e-05,-0.0007443490746363718
