expert_idx,neuron_idx,T_K,stratum
1,102,3.25004912156146e-05,Q1
3,151,2.8957711037946865e-05,Q1
3,737,2.3303822672460228e-05,Q1
59,570,7.92955052020261e-06,Q1
33,128,6.278530236158986e-06,Q1
58,691,1.3035348274570424e-05,Q1
58,791,2.1745376216131262e-05,Q1
60,724,1.4406150512513705e-05,Q1
60,449,9.604207662050612e-06,Q1
23,261,2.7157242584507912e-05,Q1
45,498,5.324364610714838e-05,Q2
60,102,4.423253994900733e-05,Q2
23,690,4.1648225305834785e-05,Q2
3,312,3.526645014062524e-05,Q2
31,705,3.440389991737902e-05,Q2
38,932,3.794925578404218e-05,Q2
53,474,4.419387551024556e-05,Q2
46,378,3.8838290493004024e-05,Q2
27,1018,3.606458267313428e-05,Q2
21,79,4.8671532567823306e-05,Q2
37,851,7.284535240614787e-05,Q3
17,940,6.383145955624059e-05,Q3
41,317,6.144933286122978e-05,Q3
54,701,5.556195173994638e-05,Q3
54,617,5.4855572670930997e-05,Q3
4,892,5.799352584290318e-05,Q3
1,321,6.378656689776108e-05,Q3
6,263,5.882295226911083e-05,Q3
61,1007,5.6307046179426834e-05,Q3
25,706,6.800216942792758e-05,Q3
14,961,0.00010024301445810124,Q4
42,219,8.600836736150086e-05,Q4
36,511,8.273420098703355e-05,Q4
12,255,7.563843973912299e-05,Q4
44,874,7.477412145817652e-05,Q4
36,895,7.853292481740937e-05,Q4
25,181,8.595120016252622e-05,Q4
47,623,7.957121124491096e-05,Q4
45,695,7.652295607840642e-05,Q4
17,979,9.22350081964396e-05,Q4
35,62,0.00033447108580730855,Q5
16,856,0.0001326717174379155,Q5
49,504,0.00012256397167220712,Q5
14,421,0.00010551266313996166,Q5
55,899,0.00010383559128968045,Q5
63,109,0.00011174463725183159,Q5
14,563,0.00013247784227132797,Q5
32,612,0.000113859903649427,Q5
37,792,0.00010723189916461706,Q5
49,430,0.00016121774388011545,Q5
