expert_idx,neuron_idx,stratum,T_K,base_acc,int_acc,base_loss,int_loss,delta_acc,delta_loss,delta_logit_margin
1,102,Q1,3.25004912156146e-05,0.446,0.446,14.8103046875,14.807125,0.0,-0.0031796875000011937,-0.0035781249999999876
3,151,Q1,2.8957711037946865e-05,0.446,0.444,14.8103046875,14.8108515625,0.0020000000000000018,0.0005468749999995026,-0.0005156250000000195
3,737,Q1,2.3303822672460228e-05,0.446,0.444,14.8103046875,14.8094921875,0.0020000000000000018,-0.0008125000000003268,-0.0022812500000000124
59,570,Q1,7.92955052020261e-06,0.446,0.444,14.8103046875,14.8069921875,0.0020000000000000018,-0.0033124999999998295,-0.004382812500000055
33,128,Q1,6.278530236158986e-06,0.446,0.446,14.8103046875,14.8122578125,0.0,0.001953125,0.0019062499999999982
58,691,Q1,1.3035348274570424e-05,0.446,0.446,14.8103046875,14.8119453125,0.0,0.0016406250000002842,0.00014062500000000533
58,791,Q1,2.1745376216131262e-05,0.446,0.444,14.8103046875,14.8139765625,0.0020000000000000018,0.003671875000000213,0.003515624999999911
60,724,Q1,1.4406150512513705e-05,0.446,0.442,14.8103046875,14.8062265625,0.0040000000000000036,-0.004078125000001265,-0.0030468750000001155
60,449,Q1,9.604207662050612e-06,0.446,0.448,14.8103046875,14.8116015625,-0.0020000000000000018,0.001296874999999531,0.002453124999999945
23,261,Q1,2.7157242584507912e-05,0.446,0.444,14.8103046875,14.8065859375,0.0020000000000000018,-0.003718750000000881,-0.0034687500000001315
45,498,Q2,5.324364610714838e-05,0.446,0.45,14.8103046875,14.8047421875,-0.0040000000000000036,-0.005562499999999915,-0.005093750000000119
60,102,Q2,4.423253994900733e-05,0.446,0.444,14.8103046875,14.8099765625,0.0020000000000000018,-0.00032812500000112266,-0.005453125000000059
23,690,Q2,4.164822530583479e-05,0.446,0.446,14.8103046875,14.8052421875,0.0,-0.00506250000000108,-0.010554687499999993
3,312,Q2,3.526645014062524e-05,0.446,0.442,14.8103046875,14.8114140625,0.0040000000000000036,0.0011093750000004121,-0.00045312499999994316
31,705,Q2,3.440389991737902e-05,0.446,0.448,14.8103046875,14.806109375,-0.0020000000000000018,-0.00419531250000027,-0.007031250000000044
38,932,Q2,3.794925578404218e-05,0.446,0.448,14.8103046875,14.8021953125,-0.0020000000000000018,-0.008109375000000085,-0.011828125000000078
53,474,Q2,4.419387551024556e-05,0.446,0.442,14.8103046875,14.8045546875,0.0040000000000000036,-0.00575000000000081,-0.005757812499999959
46,378,Q2,3.883829049300402e-05,0.446,0.448,14.8103046875,14.8062265625,-0.0020000000000000018,-0.004078125000001265,-0.006140625000000011
27,1018,Q2,3.606458267313428e-05,0.446,0.45,14.8103046875,14.8066015625,-0.0040000000000000036,-0.0037031250000012506,-0.006539062500000137
21,79,Q2,4.8671532567823306e-05,0.446,0.448,14.8103046875,14.8062890625,-0.0020000000000000018,-0.004015625000000966,-0.007140625000000123
37,851,Q3,7.284535240614787e-05,0.446,0.448,14.8103046875,14.80690625,-0.0020000000000000018,-0.0033984374999995737,-0.0034218750000001297
17,940,Q3,6.383145955624059e-05,0.446,0.442,14.8103046875,14.8092890625,0.0040000000000000036,-0.0010156250000008527,-0.004437500000000094
41,317,Q3,6.144933286122978e-05,0.446,0.446,14.8103046875,14.8077421875,0.0,-0.002562499999999801,-0.0017500000000001403
54,701,Q3,5.556195173994638e-05,0.446,0.446,14.8103046875,14.8108515625,0.0,0.0005468749999995026,-0.0024218750000000178
54,617,Q3,5.4855572670931e-05,0.446,0.446,14.8103046875,14.8086953125,0.0,-0.0016093750000010232,-0.002765625000000105
4,892,Q3,5.799352584290318e-05,0.446,0.45,14.8103046875,14.8022890625,-0.0040000000000000036,-0.008015625000000526,-0.008265624999999943
1,321,Q3,6.378656689776108e-05,0.446,0.444,14.8103046875,14.8104453125,0.0020000000000000018,0.00014062500000022737,-0.00014843750000004263
6,263,Q3,5.882295226911083e-05,0.446,0.446,14.8103046875,14.8064453125,0.0,-0.0038593750000011084,-0.00372656250000003
61,1007,Q3,5.6307046179426834e-05,0.446,0.446,14.8103046875,14.8076328125,0.0,-0.0026718750000007674,-0.0035156250000001332
25,706,Q3,6.800216942792758e-05,0.446,0.444,14.8103046875,14.8059453125,0.0020000000000000018,-0.004359374999999943,-0.00472656249999992
14,961,Q4,0.0001002430144581,0.446,0.446,14.8103046875,14.8033984375,0.0,-0.006906250000000114,-0.006304687500000128
42,219,Q4,8.600836736150086e-05,0.446,0.446,14.8103046875,14.8077890625,0.0,-0.0025156250000009095,-0.0037343750000000675
36,511,Q4,8.273420098703355e-05,0.446,0.444,14.8103046875,14.8096953125,0.0020000000000000018,-0.000609374999999801,-0.004046875000000005
12,255,Q4,7.563843973912299e-05,0.446,0.446,14.8103046875,14.8010390625,0.0,-0.009265625000001165,-0.005109374999999972
44,874,Q4,7.477412145817652e-05,0.446,0.44,14.8103046875,14.8128359375,0.006000000000000005,0.0025312499999987637,0.004515625000000023
36,895,Q4,7.853292481740937e-05,0.446,0.442,14.8103046875,14.8101171875,0.0040000000000000036,-0.00018750000000089528,-0.0021562500000000817
25,181,Q4,8.595120016252622e-05,0.446,0.446,14.8103046875,14.8052578125,0.0,-0.005046874999999673,-0.004984375000000041
47,623,Q4,7.957121124491096e-05,0.446,0.448,14.8103046875,14.8058984375,-0.0020000000000000018,-0.004406250000000611,-0.006093750000000009
45,695,Q4,7.652295607840642e-05,0.446,0.448,14.8103046875,14.8071640625,-0.0020000000000000018,-0.003140625000000341,-0.0025390625000001332
17,979,Q4,9.22350081964396e-05,0.446,0.446,14.8103046875,14.8089375,0.0,-0.0013671874999996447,-0.006523437500000062
35,62,Q5,0.0003344710858073,0.446,0.446,14.8103046875,14.80634375,0.0,-0.003960937500000483,-0.005742187500000107
16,856,Q5,0.0001326717174379,0.446,0.444,14.8103046875,14.8088046875,0.0020000000000000018,-0.0015000000000000568,-0.007249999999999979
49,504,Q5,0.0001225639716722,0.446,0.438,14.8103046875,14.804125,0.008000000000000007,-0.006179687499999531,-0.011570312499999957
14,421,Q5,0.0001055126631399,0.446,0.444,14.8103046875,14.80525,0.0020000000000000018,-0.005054687500001265,-0.006703125000000032
55,899,Q5,0.0001038355912896,0.446,0.444,14.8103046875,14.80628125,0.0020000000000000018,-0.004023437500000782,-0.008234375000000016
63,109,Q5,0.0001117446372518,0.446,0.444,14.8103046875,14.8050546875,0.0020000000000000018,-0.005250000000000199,-0.008218749999999941
14,563,Q5,0.0001324778422713,0.446,0.446,14.8103046875,14.8110078125,0.0,0.0007031249999993605,-0.003296874999999977
32,612,Q5,0.0001138599036494,0.446,0.448,14.8103046875,14.8075390625,-0.0020000000000000018,-0.002765625000000327,-0.004695312499999993
37,792,Q5,0.0001072318991646,0.446,0.446,14.8103046875,14.807375,0.0,-0.0029296875,-0.004171874999999936
49,430,Q5,0.0001612177438801,0.446,0.446,14.8103046875,14.806484375,0.0,-0.003820312500000256,-0.012039062499999975
