layer,expert_idx,neuron_idx,stratum,T_K,base_acc,int_acc,base_loss,int_loss,baseline_margin,ablated_margin,delta_acc,delta_loss,margin_damage
8,38,737,Q1,2.538805165386293e-05,0.478,0.48,14.2642890625,14.2679296875,-0.8849765625,-0.8872265625,-0.0020000000000000018,0.003640625000000952,0.0022499999999999742
8,15,443,Q1,2.469771243340801e-05,0.478,0.48,14.2642890625,14.2659453125,-0.8849765625,-0.8897734375,-0.0020000000000000018,0.0016562499999999147,0.004796875000000034
8,33,162,Q1,6.641199888690608e-06,0.478,0.482,14.2642890625,14.2660625,-0.8849765625,-0.883625,-0.0040000000000000036,0.0017734375000006963,-0.0013515625000000142
8,58,651,Q1,2.16813223232748e-05,0.478,0.478,14.2642890625,14.2605390625,-0.8849765625,-0.8788203125,0.0,-0.003750000000000142,-0.006156249999999974
8,22,391,Q1,1.216615692101186e-05,0.478,0.48,14.2642890625,14.267671875,-0.8849765625,-0.886265625,-0.0020000000000000018,0.003382812499999943,0.0012890624999999378
8,7,407,Q1,1.7481537724961527e-05,0.478,0.482,14.2642890625,14.2696953125,-0.8849765625,-0.8891640625,-0.0040000000000000036,0.005406250000000057,0.004187500000000011
8,59,279,Q1,9.741717803990468e-06,0.478,0.48,14.2642890625,14.26065625,-0.8849765625,-0.8773203125,-0.0020000000000000018,-0.0036328124999993605,-0.007656250000000031
8,38,192,Q1,3.1725656299386173e-05,0.478,0.478,14.2642890625,14.2723203125,-0.8849765625,-0.893328125,0.0,0.008031250000000156,0.00835156250000002
8,19,135,Q1,2.9116590667399574e-05,0.478,0.478,14.2642890625,14.2630390625,-0.8849765625,-0.8840078125,0.0,-0.0012499999999988631,-0.0009687499999999627
8,33,837,Q1,6.333844794426113e-06,0.478,0.48,14.2642890625,14.2636640625,-0.8849765625,-0.8835078125,-0.0020000000000000018,-0.0006249999999994316,-0.0014687500000000187
8,45,826,Q2,4.7109282604651526e-05,0.478,0.484,14.2642890625,14.262484375,-0.8849765625,-0.881515625,-0.006000000000000005,-0.0018046874999999574,-0.003460937499999983
8,54,715,Q2,4.656226155930199e-05,0.478,0.482,14.2642890625,14.265375,-0.8849765625,-0.88440625,-0.0040000000000000036,0.0010859375000009663,-0.0005703125000000586
8,19,120,Q2,3.457352431723848e-05,0.478,0.478,14.2642890625,14.2642265625,-0.8849765625,-0.8864765625,0.0,-6.250000000029843e-05,0.0014999999999999458
8,51,839,Q2,4.413079295773059e-05,0.478,0.482,14.2642890625,14.26603125,-0.8849765625,-0.8835390625,-0.0040000000000000036,0.001742187499999659,-0.0014374999999999805
