layer,expert_idx,neuron_idx,T_K,stratum
8,38,737,2.538805165386293e-05,Q1
8,15,443,2.4697712433408014e-05,Q1
8,33,162,6.641199888690608e-06,Q1
8,58,651,2.16813223232748e-05,Q1
8,22,391,1.2166156921011861e-05,Q1
8,7,407,1.7481537724961527e-05,Q1
8,59,279,9.741717803990468e-06,Q1
8,38,192,3.1725656299386173e-05,Q1
8,19,135,2.9116590667399578e-05,Q1
8,33,837,6.333844794426113e-06,Q1
8,45,826,4.7109282604651526e-05,Q2
8,54,715,4.656226155930199e-05,Q2
8,19,120,3.457352431723848e-05,Q2
8,51,839,4.413079295773059e-05,Q2
8,2,17,3.747694063349627e-05,Q2
8,2,913,4.099116267752834e-05,Q2
8,41,872,3.613023363868706e-05,Q2
8,51,499,5.258255987428129e-05,Q2
8,54,46,5.028018858865835e-05,Q2
8,40,958,3.442859815550037e-05,Q2
8,20,213,6.653960736002773e-05,Q3
8,31,684,6.597594619961455e-05,Q3
8,4,169,5.4999552958179265e-05,Q3
8,62,524,6.372881034621969e-05,Q3
8,7,200,5.754215089837089e-05,Q3
8,62,769,6.094439231674187e-05,Q3
8,32,1009,5.637595313601196e-05,Q3
8,51,389,7.21463147783652e-05,Q3
8,45,536,6.973471317905933e-05,Q3
8,43,933,5.4873875342309475e-05,Q3
8,13,117,8.995060488814488e-05,Q4
8,28,931,8.913472265703604e-05,Q4
8,55,918,7.496874604839832e-05,Q4
8,34,325,8.588298805989325e-05,Q4
8,18,831,7.797394937369972e-05,Q4
8,12,974,8.204719051718712e-05,Q4
8,55,195,7.658552203793079e-05,Q4
8,28,1012,9.90363914752379e-05,Q4
8,16,411,9.490928641753271e-05,Q4
8,36,877,7.48066304367967e-05,Q4
8,10,350,0.00014886213466525078,Q5
8,4,205,0.00014500100223813206,Q5
8,24,1008,0.00010419325553812087,Q5
8,10,167,0.00013215199578553438,Q5
8,6,619,0.00011053222260670736,Q5
8,14,177,0.00012048949429299682,Q5
8,17,707,0.00010739790741354227,Q5
8,49,633,0.00025888177333399653,Q5
8,35,904,0.00018319480295758694,Q5
8,53,819,0.00010389171075075865,Q5
