pair_id,expert_i,expert_j,ARC_Accuracy,ARC_Accuracy_Delta
pair_01,7,19,0.4076313801974109,-0.012477765955009058
pair_02,13,36,0.4634532302703625,0.011409893165042593
pair_03,27,43,0.49634561375166203,-0.009537992530649662
pair_04,11,47,0.46642777709730465,0.012535126216576301
pair_05,21,53,0.5010123522751347,-0.009714888723481047
pair_06,24,43,0.4718055098544513,0.02454937811202418
pair_07,9,14,0.595371310666731,-0.02686851930510814
pair_08,1,6,0.43144633876005095,-0.014801033104734459
pair_09,49,56,0.4771072687042634,-0.010615009809636882
pair_10,7,32,0.5071098500498838,-0.0012907055962832448
pair_11,24,35,0.4517020359085808,0.018553443579740682
pair_12,5,39,0.4952267255650059,0.0042652719336570355
pair_13,58,62,0.5558727238840578,-0.02249311356049975
pair_14,45,53,0.5655396887291475,-0.001131298858573562
pair_15,49,59,0.5777599037656733,0.0010626975011061583
pair_16,10,22,0.453101130424031,-0.012415264120580615
pair_17,22,31,0.5287976199250676,-0.02002404771885798
pair_18,4,22,0.5409829612130659,-0.04890131115195495
