expert_id,D_KL,delta_loss,delta_margin,delta_acc,base_loss,ablated_loss,base_acc,ablated_acc
1,0.0012788792907356449,-0.012554687499999773,0.0004417634862475088,-0.0020000000000000018,14.2642890625,14.251734375,0.478,0.48
4,0.0008320293120155658,0.0003124999999997158,0.0009776382231666512,-0.006000000000000005,14.2642890625,14.2646015625,0.478,0.484
5,0.0024148153031820414,-0.00321875000000027,-0.0007964207976801849,-0.0020000000000000018,14.2642890625,14.2610703125,0.478,0.48
6,0.002229783738941714,0.008335937500000057,-0.00037339005577450776,-0.0020000000000000018,14.2642890625,14.272625,0.478,0.48
7,0.0006841150296754321,-0.011789062500000114,-0.002415965096559376,-0.0040000000000000036,14.2642890625,14.2525,0.478,0.482
9,0.0014536221598576678,0.007726562500000256,0.0002863361446907228,-0.0020000000000000018,14.2642890625,14.272015625,0.478,0.48
10,0.0019059271999519547,-0.024484375000000114,0.004338693207722826,0.008000000000000007,14.2642890625,14.2398046875,0.478,0.47
11,0.0022336952745903435,0.008312500000000611,0.003946369915851393,0.0,14.2642890625,14.2726015625,0.478,0.478
13,0.0011074169125103615,-0.007726562500000256,-0.0012230189565780175,-0.0020000000000000018,14.2642890625,14.2565625,0.478,0.48
14,0.003813250056136779,0.2097265625000002,0.026067205028812167,0.019999999999999962,14.2642890625,14.474015625,0.478,0.458
19,0.0012517103246470305,-0.0060624999999987494,7.363057993279784e-05,-0.0020000000000000018,14.2642890625,14.2582265625,0.478,0.48
21,0.002302270299877306,0.0019843750000010374,-0.0007383862044080154,0.0,14.2642890625,14.2662734375,0.478,0.478
22,0.03778165028199902,0.00023437499999978684,-0.0005758491622291327,-0.006000000000000005,14.2642890625,14.2645234375,0.478,0.484
24,0.0024284267623422605,0.008703125000000256,0.0011510865670279584,-0.0020000000000000018,14.2642890625,14.2729921875,0.478,0.48
27,0.0009092632372365855,-0.0005312499999998721,-0.002320846819086,-0.0020000000000000018,14.2642890625,14.2637578125,0.478,0.48
31,0.00109390759766172,-0.004624999999998991,0.0013484503659419722,0.0,14.2642890625,14.2596640625,0.478,0.478
32,0.0014444437910169647,0.19728906250000122,-0.0057718580090149775,0.0,14.2642890625,14.461578125,0.478,0.478
35,0.0014863841496679173,-0.031851562499999986,0.0019438682305626571,0.0020000000000000018,14.2642890625,14.2324375,0.478,0.476
36,0.0012659758308222566,0.009210937500000682,0.0010433356045105036,-0.006000000000000005,14.2642890625,14.2735,0.478,0.484
39,0.0008398962982387352,0.0006171874999996163,0.0009867605922918299,0.0,14.2642890625,14.26490625,0.478,0.478
43,0.0007767884050688369,-0.001007812499999261,0.0014707705711734902,-0.0020000000000000018,14.2642890625,14.26328125,0.478,0.48
45,0.003211592154523231,0.003460937499999872,-0.0030014474040362983,-0.006000000000000005,14.2642890625,14.26775,0.478,0.484
47,0.0009204645420174074,-0.0036796875000000284,-0.0002948043856304157,-0.006000000000000005,14.2642890625,14.260609375,0.478,0.484
49,0.0018940429203666328,-0.00042187499999890576,0.0012316493232501675,-0.0020000000000000018,14.2642890625,14.2638671875,0.478,0.48
53,0.0017326246182714545,0.01444531250000125,0.001796326139199663,0.0020000000000000018,14.2642890625,14.278734375,0.478,0.476
56,0.0023438653351686408,-8.59374999997442e-05,0.0018881729965905814,0.0040000000000000036,14.2642890625,14.264203125,0.478,0.474
58,0.0031676464261530435,0.0015234374999995026,-2.3594453406987348e-05,-0.0020000000000000018,14.2642890625,14.2658125,0.478,0.48
59,0.0008370072827369676,0.002476562500000057,-0.0017967422304682266,0.0,14.2642890625,14.266765625,0.478,0.478
62,0.001297867957644335,0.024390625000000554,0.000309631479234667,-0.008000000000000007,14.2642890625,14.2886796875,0.478,0.486
