pair_id,expert_i,expert_j,selection_stratum,selection_rank,D_pred,D_actual_KL,Error_KL,delta_loss,delta_margin,delta_acc,base_acc,merged_acc,base_loss,merged_loss
pair_01,7,19,Group_A,27,0.0009546764,0.0010335654246184,7.888902461842563e-05,-0.0056250000000002,0.0019898770319123,0.0,0.478,0.478,14.2642890625,14.2586640625
pair_02,13,36,Group_A,131,0.0013820039,0.0014274486899977163,4.5444789997716286e-05,0.006773437499999702,0.0009600165558222226,0.0040000000000000036,0.478,0.474,14.2642890625,14.2710625
pair_03,27,43,Group_A,132,0.0013838233,0.0008612610104853558,-0.0005225622895146442,0.0056562500000012506,0.00015933558443793905,-0.0040000000000000036,0.478,0.482,14.2642890625,14.2699453125
pair_04,11,47,Group_A,196,0.0015403739,0.0020262202332934744,0.0004858463332934745,0.0061640624999999005,0.0021462563274089914,-0.0020000000000000018,0.478,0.48,14.2642890625,14.270453125
pair_05,21,53,Group_A,231,0.0016043163,0.002726197651678882,0.001121881351678882,0.015093750000000128,0.0027455219967960146,0.0040000000000000036,0.478,0.474,14.2642890625,14.2793828125
pair_06,24,43,Group_A,260,0.0016376368,0.002117421174152692,0.0004797843741526917,0.013796875000000597,0.0015423385336471238,0.0,0.478,0.478,14.2642890625,14.2780859375
pair_07,9,14,Group_B,1013,0.0027660572,0.0037621692994435707,0.000996112099443571,0.18889843750000068,0.023059666167591784,0.023999999999999966,0.478,0.454,14.2642890625,14.4531875
pair_08,1,6,Group_B,1094,0.0028539652,0.0022443774972042783,-0.0006095877027957218,-0.0005156250000002416,-0.0001139246984093907,0.0,0.478,0.478,14.2642890625,14.2637734375
pair_09,49,56,Group_B,1100,0.0028621235,0.0027931794843354886,-6.894401566451139e-05,-0.004843749999999147,0.0022775819447888347,0.0020000000000000018,0.478,0.476,14.2642890625,14.2594453125
pair_10,7,32,Group_B,1111,0.0028761248,0.0011679150596399061,-0.001708209740360094,0.13549218750000058,-0.002553000988991699,-0.0040000000000000036,0.478,0.482,14.2642890625,14.39978125
pair_11,24,35,Group_B,1122,0.0028976304,0.0025861625667210554,-0.0003114678332789447,-0.010656250000000256,0.003342183576725801,0.006000000000000005,0.478,0.472,14.2642890625,14.2536328125
pair_12,5,39,Group_B,1195,0.002980929,0.0020892527485279326,-0.0008916762514720672,0.0018124999999997726,0.0007997573192405974,-0.0040000000000000036,0.478,0.482,14.2642890625,14.2661015625
pair_13,58,62,Group_C,1768,0.004165369,0.0028934584987626304,-0.00127191050123737,0.006062500000000526,0.0001731998760078554,-0.0040000000000000036,0.478,0.482,14.2642890625,14.2703515625
pair_14,45,53,Group_C,1835,0.0046352367,0.0033795273622295903,-0.0012557093377704096,0.014914062500000824,0.0011853960847220159,0.0040000000000000036,0.478,0.474,14.2642890625,14.279203125
pair_15,49,59,Group_C,1907,0.0067475233,0.00165924531576301,-0.005088277984236989,-0.0027343749999992895,0.002195642576407409,0.0040000000000000036,0.478,0.474,14.2642890625,14.2615546875
pair_16,10,22,Group_C,1948,0.011552542,0.030556331475535683,0.01900378947553568,-0.012656249999999147,0.0038811801140800524,0.006000000000000005,0.478,0.472,14.2642890625,14.2516328125
pair_17,22,31,Group_C,1963,0.019299634,0.03436477070339262,0.015065136703392618,0.0010156250000008527,0.0010743311718360918,0.0,0.478,0.478,14.2642890625,14.2653046875
pair_18,4,22,Group_C,1991,0.027212525,0.0359223173336476,0.008709792333647597,0.0034921875000009095,0.0012410828626125275,-0.0040000000000000036,0.478,0.482,14.2642890625,14.26778125
