pair_id,expert_i,expert_j,D_pred,D_actual_KL,residual,C_i_to_j,C_j_to_i,C_mutual
pair_01,7,19,0.0009546764,0.0010335654246184,7.888902461840005e-05,0.01851632,0.013475856,0.0159960873425006
pair_02,13,36,0.0013820039,0.0014274486899977,4.544478999770002e-05,0.00986946,0.008734646,0.0093020536005496
pair_03,27,43,0.0013838233,0.0008612610104853,-0.0005225622895147,0.0008665923,0.0010379176,0.0009522549225948
pair_04,11,47,0.0015403739,0.0020262202332934,0.0004858463332933999,0.020266978,0.020763831,0.0205154046416282
pair_05,21,53,0.0016043163,0.0027261976516788,0.0011218813516788,0.014538528,0.011642527,0.0130905276164412
pair_06,24,43,0.0016376368,0.0021174211741526,0.00047978437415259977,0.00072337955,0.00064599456,0.0006846870528534
pair_07,9,14,0.0027660572,0.0037621692994435,0.0009961120994435003,0.023136731,0.022305563,0.0227211471647024
pair_08,1,6,0.0028539652,0.0022443774972042,-0.0006095877027957998,0.019860294,0.019166164,0.0195132289081811
pair_09,49,56,0.0028621235,0.0027931794843354,-6.894401566459986e-05,0.005429253,0.006838872,0.0061340625397861
pair_10,7,32,0.0028761248,0.0011679150596399,-0.0017082097403601,0.12205458,0.11294716,0.1175008714199066
pair_11,24,35,0.0028976304,0.002586162566721,-0.0003114678332790002,0.0027853434,0.0035139266,0.0031496351584792
pair_12,5,39,0.002980929,0.0020892527485279,-0.0008916762514720998,0.025126174,0.02547368,0.0252999272197484
pair_13,58,62,0.004165369,0.0028934584987626,-0.0012719105012374003,0.017194372,0.018099472,0.0176469217985868
pair_14,45,53,0.0046352367,0.0033795273622295,-0.0012557093377704998,0.012024818,0.013404999,0.0127149084582924
pair_15,49,59,0.0067475233,0.001659245315763,-0.005088277984237,0.00682471,0.007005753,0.0069152312353253
pair_16,10,22,0.011552542,0.0305563314755356,0.019003789475535597,0.002695871,0.0024496033,0.0025727371685206
pair_17,22,31,0.019299634,0.0343647707033926,0.015065136703392597,0.03189983,0.039887644,0.0358937382698059
pair_18,4,22,0.027212525,0.0359223173336476,0.008709792333647597,0.017492961,0.01365522,0.0155740901827812
