pair_id,expert_i,expert_j,C_i_to_j,C_j_to_i,C_mutual
pair_01,7,19,0.01851632,0.013475856,0.015996087342500687
pair_02,13,36,0.00986946,0.008734646,0.009302053600549698
pair_03,27,43,0.0008665923,0.0010379176,0.0009522549225948751
pair_04,11,47,0.020266978,0.020763831,0.020515404641628265
pair_05,21,53,0.014538528,0.011642527,0.01309052761644125
pair_06,24,43,0.00072337955,0.00064599456,0.0006846870528534055
pair_07,9,14,0.023136731,0.022305563,0.022721147164702415
pair_08,1,6,0.019860294,0.019166164,0.01951322890818119
pair_09,49,56,0.005429253,0.006838872,0.0061340625397861
pair_10,7,32,0.12205458,0.11294716,0.11750087141990662
pair_11,24,35,0.0027853434,0.0035139266,0.0031496351584792137
pair_12,5,39,0.025126174,0.02547368,0.025299927219748497
pair_13,58,62,0.017194372,0.018099472,0.017646921798586845
pair_14,45,53,0.012024818,0.013404999,0.012714908458292484
pair_15,49,59,0.00682471,0.007005753,0.0069152312353253365
pair_16,10,22,0.002695871,0.0024496033,0.002572737168520689
pair_17,22,31,0.03189983,0.039887644,0.03589373826980591
pair_18,4,22,0.017492961,0.01365522,0.01557409018278122
